vertex_id,substrate,depth,resultant_mag,net_drift,direction_spread,resultant_x,resultant_y,degree,depth_bin
2246,AB_N30,0.6144734268451191,0.30795984416405087,0.30795984416060224,1.5347872038792614,-0.11785113016666666,-0.2845177968666667,6,"(0.598, 0.618]"
2247,AB_N30,0.08135015334883489,0.8047378541243652,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333333,3,"(0.0798, 0.0998]"
2248,AB_N30,0.4500186799758603,0.8047378541243652,0.8047378541333333,0.6591489993124834,-0.8047378541333333,3.700743415417188e-17,3,"(0.439, 0.459]"
2249,AB_N30,0.3355082823251918,0.6532814824449533,0.6532814824348354,0.9227645227015114,-0.249999999975,-0.6035533906,4,"(0.319, 0.339]"
2250,AB_N30,0.7371292538767362,0.4828427124746191,0.48284271248,1.2067015583088359,0.0,0.48284271248,5,"(0.718, 0.738]"
2251,AB_N30,0.31040458755139144,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.6035533906,-0.25,4,"(0.299, 0.319]"
2252,AB_N30,0.4412304073338471,0.6532814824545203,0.6532814824539697,0.9227645226856411,-0.6035533906,0.250000000025,4,"(0.439, 0.459]"
2253,AB_N30,0.7294939280230955,0.30795984416405087,0.30795984416060224,1.5347872038792614,-0.11785113016666666,-0.2845177968666667,6,"(0.718, 0.738]"
2254,AB_N30,0.16120011282505398,0.8047378541243652,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333333,3,"(0.16, 0.18]"
2255,AB_N30,0.47760564488267876,0.8047378541243652,0.8047378541333333,0.6591489993124834,-0.8047378541333333,0.0,3,"(0.459, 0.479]"
2256,AB_N30,0.4511676459692725,0.6532814824449533,0.6532814824348354,0.9227645227015114,-0.249999999975,-0.6035533906,4,"(0.439, 0.459]"
2257,AB_N30,0.6376953408356659,0.6532814824381883,0.6532814824444024,0.9227645227127335,0.25,0.6035533905999999,4,"(0.618, 0.638]"
2258,AB_N30,0.34658070895554016,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,3.700743415417188e-17,3,"(0.339, 0.359]"
2259,AB_N30,0.3881282041366171,0.804737854124365,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333332,3,"(0.379, 0.399]"
2260,AB_N30,0.8431928827659528,1.2500028789861067e-11,2.500000206852468e-11,7.075073175584921,2.5000002068509275e-11,2.7755575615628914e-17,8,"(0.838, 0.858]"
