depth_bin,n,mean_depth,mean_resultant,mean_drift,mean_spread,mean_degree,substrate
"(0.199, 0.219]",470,0.208982460336937,0.8307109873575966,0.8307109873579083,0.5985406053765324,3.2914893617021277,Penrose_N24
"(0.219, 0.239]",531,0.22860680650466988,0.8331516121539707,0.8331516121550937,0.5942671965012886,3.2580037664783426,Penrose_N24
"(0.239, 0.259]",577,0.24848766766884925,0.8337576848080213,0.8337576848095373,0.5930485573986631,3.2790294627383014,Penrose_N24
"(0.259, 0.278]",594,0.26824051014350675,0.8285692968864763,0.8285692968878157,0.6028255977811011,3.3181818181818183,Penrose_N24
"(0.278, 0.298]",654,0.28831794370480346,0.8291331775133701,0.8291331775144938,0.6016684321896426,3.2966360856269112,Penrose_N24
"(0.298, 0.318]",620,0.30802128115973115,0.825455846543983,0.8254558465436899,0.6083639826171956,3.356451612903226,Penrose_N24
"(0.318, 0.338]",632,0.32806689508801873,0.8183979626966539,0.8183979626962183,0.6211787981859004,3.4050632911392404,Penrose_N24
"(0.338, 0.358]",579,0.3480140930355902,0.8152712866069702,0.8152712866059245,0.6268995043832353,3.4507772020725387,Penrose_N24
"(0.358, 0.378]",585,0.36787514764294754,0.8080002872969916,0.8080002872979839,0.6399814575252358,3.483760683760684,Penrose_N24
"(0.378, 0.398]",567,0.3878753719659707,0.7933386183652255,0.7933386183670397,0.6666350434134053,3.566137566137566,Penrose_N24
"(0.398, 0.418]",566,0.40769805630478595,0.7805314174624925,0.780531417462677,0.6893471793692629,3.570671378091873,Penrose_N24
"(0.418, 0.438]",575,0.42762156243661964,0.7553960067466239,0.7553960067464759,0.7345169260294043,3.6121739130434785,Penrose_N24
"(0.438, 0.457]",589,0.4476317493815318,0.7399223813938747,0.7399223813932089,0.7623851953700993,3.66044142614601,Penrose_N24
"(0.457, 0.477]",632,0.4675155474993683,0.7036247629764196,0.7036247629768854,0.8271980761210261,3.6487341772151898,Penrose_N24
"(0.477, 0.497]",684,0.4874263813526115,0.6810258661759507,0.681025866176381,0.8671973663336426,3.6535087719298245,Penrose_N24
"(0.497, 0.517]",720,0.507473422288064,0.6553008340228791,0.6553008340236904,0.9131695701925676,3.673611111111111,Penrose_N24
"(0.517, 0.537]",726,0.5273035807018207,0.6362248862388574,0.636224886238193,0.9475482537114133,3.7079889807162534,Penrose_N24
"(0.537, 0.557]",751,0.5469965918664249,0.6224554884098573,0.622455488409788,0.9721558479575187,3.696404793608522,Penrose_N24
"(0.557, 0.577]",765,0.5667748915483639,0.6028090015199234,0.6028090015194312,1.0078537768359548,3.7555555555555555,Penrose_N24
"(0.577, 0.597]",728,0.5867074955540247,0.5843793948299226,0.5843793948303877,1.0425746110792435,3.870879120879121,Penrose_N24
"(0.597, 0.617]",710,0.6064608350930086,0.5703745520412149,0.5703745520406416,1.0680938673916376,3.926760563380282,Penrose_N24
"(0.617, 0.636]",660,0.6264693384959931,0.5435243088123922,0.5435243088122301,1.1191449040003354,4.056060606060606,Penrose_N24
"(0.636, 0.656]",635,0.6462981171720967,0.5016321003080115,0.501632100308057,1.1978892680477848,4.27244094488189,Penrose_N24
"(0.656, 0.676]",601,0.6662423226442897,0.4560481233687218,0.45604812336846456,1.2862265490494635,4.504159733777039,Penrose_N24
"(0.676, 0.696]",570,0.686215661249342,0.42517190939239374,0.42517190939145033,1.3429168503777515,4.564912280701755,Penrose_N24
"(0.696, 0.716]",534,0.7057684977812557,0.3809968709205563,0.3809968709202149,1.4300677520119285,4.7565543071161045,Penrose_N24
"(0.716, 0.736]",499,0.7257839639525189,0.32770263880069067,0.32770263880031464,1.5609647511611366,4.937875751503006,Penrose_N24
"(0.736, 0.756]",453,0.7456389626161775,0.2954460273123805,0.29544602731070957,1.7368415344479533,5.039735099337748,Penrose_N24
"(0.756, 0.776]",423,0.7655362762112892,0.23321988179622363,0.2332198817956547,2.2122170614526038,5.276595744680851,Penrose_N24
"(0.776, 0.796]",400,0.7853014257459396,0.21857412386955752,0.21857412386985636,2.345227454356821,5.25,Penrose_N24
"(0.796, 0.815]",353,0.8054616897191372,0.17995129165885235,0.1799512916595533,2.8932983540454327,5.373937677053824,Penrose_N24
"(0.815, 0.835]",322,0.8253985954877141,0.153316232758715,0.15331623276013737,3.2608635298860618,5.3602484472049685,Penrose_N24
"(0.835, 0.855]",280,0.8453428536307133,0.11649709745930352,0.11649709746093269,4.118633905451786,5.303571428571429,Penrose_N24
"(0.855, 0.875]",256,0.8651126709026273,0.0979896882173334,0.09798968821898935,4.609737183113966,5.2265625,Penrose_N24
"(0.875, 0.895]",215,0.8852279935681074,0.07148685618209853,0.07148685618698124,5.226470696767254,5.162790697674419,Penrose_N24
"(0.895, 0.915]",169,0.904962967194993,0.05850939553611498,0.05850939554177998,5.526670525897909,5.076923076923077,Penrose_N24
"(0.915, 0.935]",138,0.924243359928803,0.04468599034974002,0.04468599035507544,5.943100011132844,4.978260869565218,Penrose_N24
"(0.935, 0.955]",105,0.9444830813895123,0.020634920647476906,0.020634920650948126,6.616589424077124,4.933333333333334,Penrose_N24
"(0.955, 0.975]",66,0.9640860110820444,0.02272727274243993,0.02272727275126022,6.565309579618864,4.909090909090909,Penrose_N24
"(0.975, 0.994]",28,0.983455640460486,0.008928571446011769,0.008928571454836717,6.849853629419068,4.964285714285714,Penrose_N24
