substrate,group,t,candidate_count,walkers,msd_phys,msd_perp,near_return_frac,near_return_n,near_return_mean_perp_mismatch,median_perp_tortuosity,p90_perp_tortuosity,start_texture_mean,start_depth_mean
Penrose_N24,texture_high_q25,64,5385,2200,58.51401762640793,2.1518914644793767,0.08636363636363636,190,1.238740098335329,46.310835057925836,107.31629021152443,1.4579874242833548,0.25127990848980236
Penrose_N24,texture_high_q25,128,5385,2200,116.45872388395814,2.149912479659363,0.04818181818181818,106,1.320577421283479,95.02006309245233,214.63258043368245,1.4579874242833548,0.25127990848980236
Penrose_N24,texture_high_q25,256,5385,2200,229.73712975873687,2.184688423040725,0.01818181818181818,40,1.209548568154212,187.03234975090902,429.2651609043139,1.4579874242833548,0.25127990848980236
Penrose_N24,texture_high_q25,512,5385,2200,443.8502947840162,2.15470521589613,0.01,22,1.093715433495362,380.0802523783045,867.0367618206058,1.4579874242833548,0.25127990848980236
Penrose_N24,texture_low_q25,16,5385,2200,14.567901372747913,1.200280445438216,0.3245454545454545,714,0.8963304400178971,16.774123755796857,35.632523661091916,-0.8890306007267068,0.6016218178828171
Penrose_N24,texture_low_q25,32,5385,2200,29.049283221735617,1.2061713237194827,0.165,363,0.9188213702858697,33.54824751064368,71.26504732667532,-0.8890306007267068,0.6016218178828171
Penrose_N24,texture_low_q25,64,5385,2200,58.714934775296165,1.2246106792440963,0.08727272727272728,192,0.8880078819765442,67.09649501886096,142.53009465425254,-0.8890306007267068,0.6016218178828171
Penrose_N24,texture_low_q25,128,5385,2200,113.79866483088033,1.22178971458208,0.045909090909090906,101,0.9867010051514167,134.19299004632762,351.3218089857531,-0.8890306007267068,0.6016218178828171
Penrose_N24,texture_low_q25,256,5385,2200,222.71872858921944,1.2239986834779177,0.02590909090909091,57,0.8930643313156877,267.92909414291114,702.6436179877683,-0.8890306007267068,0.6016218178828171
Penrose_N24,texture_low_q25,512,5385,2200,432.52527205181934,1.2365461299008278,0.012272727272727272,27,0.8673630540830053,535.8581883169757,1299.5807355777258,-0.8890306007267068,0.6016218178828171
Penrose_N24,depth_high_q25,16,5385,2200,14.225259768429426,0.9033765952075603,0.3140909090909091,691,0.7590198765153383,20.944271910192402,35.632523661632725,-0.698726043919631,0.7452011128505377
Penrose_N24,depth_high_q25,32,5385,2200,28.873575366785694,0.949151905946241,0.1759090909090909,387,0.7790779974284743,37.466252582316486,71.26504732768424,-0.698726043919631,0.7452011128505377
Penrose_N24,depth_high_q25,64,5385,2200,57.364320186183704,0.9534070865407478,0.09090909090909091,200,0.7705526013030854,72.22453910763431,175.66090450084198,-0.698726043919631,0.7452011128505377
Penrose_N24,depth_high_q25,128,5385,2200,114.1640087101889,0.9132640170597558,0.05272727272727273,116,0.8342724501848867,157.11588937786112,392.3516908099839,-0.698726043919631,0.7452011128505377
Penrose_N24,depth_high_q25,256,5385,2200,231.09840166819484,0.9084165135841402,0.03318181818181818,73,0.8197771121235444,299.73002068380833,756.3451929150997,-0.698726043919631,0.7452011128505377
Penrose_N24,depth_high_q25,512,5385,2200,443.04314447654525,0.949128250626248,0.013636363636363636,30,0.8741845312833227,598.9732368834407,1492.5945288740825,-0.698726043919631,0.7452011128505377
Penrose_N24,depth_low_q25,16,5385,2200,13.94667165531491,2.354691981048331,0.30318181818181816,667,1.2650496231792752,11.577708763602597,22.0221107281961,1.1707382639922987,0.16556912950544958
Penrose_N24,depth_low_q25,32,5385,2200,28.504198837685028,2.384892071409245,0.15181818181818182,334,1.2810900606022821,22.02211072824891,44.04422145621623,1.1707382639922987,0.16556912950544958
Penrose_N24,depth_low_q25,64,5385,2200,57.46524198190216,2.371576199918569,0.08545454545454545,188,1.2365170360054654,45.40441114027733,88.08844291222508,1.1707382639922987,0.16556912950544958
Penrose_N24,depth_low_q25,128,5385,2200,116.24637939874688,2.352256964841107,0.045454545454545456,100,1.285311389658352,90.80882227957612,192.02075291273556,1.1707382639922987,0.16556912950544958
Penrose_N24,depth_low_q25,256,5385,2200,225.83759849929066,2.37512877337658,0.022272727272727274,49,0.9513051760143095,181.61764455896738,397.6341993744434,1.1707382639922987,0.16556912950544958
Penrose_N24,depth_low_q25,512,5385,2200,428.2529732784933,2.445663085048669,0.010454545454545454,23,1.2093952043975846,353.1171875375085,795.2683986951992,1.1707382639922987,0.16556912950544958
