vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
10311,-55.2842712475,-44.6274169980,3,3,-27,-36,-22,4,1.2842712475,-0.6274169980,1.4293371633,-81
10312,-56.2842712475,-43.2132034356,4,0,-28,-35,-22,5,0.2842712475,0.7867965644,0.8365757443,-80
10313,-56.2842712475,-42.2132034356,6,1,-28,-35,-21,5,0.2842712475,-0.2132034356,0.3553390593,-79
10314,-55.2842712475,-43.2132034356,3,1,-27,-35,-22,5,1.2842712475,0.7867965644,1.5061213334,-79
10315,-55.2842712475,-42.2132034356,4,2,-27,-35,-21,5,1.2842712475,-0.2132034356,1.3018480487,-78
10316,-55.5771644663,-41.5060966544,4,2,-28,-34,-21,5,-0.4228355337,0.4939033456,0.6501772092,-78
10317,-55.5771644663,-40.5060966544,3,3,-28,-34,-20,5,-0.4228355337,-0.5060966544,0.6594874617,-77
10318,-54.5771644663,-41.5060966544,5,3,-27,-34,-21,5,0.5771644663,0.4939033456,0.7596442167,-77
10319,-54.5771644663,-40.5060966544,4,0,-27,-34,-20,5,0.5771644663,-0.5060966544,0.7676279338,-76
10320,-55.5771644663,-39.0918830920,3,1,-28,-33,-20,6,-0.4228355337,0.9081169080,1.0017316043,-75
10321,-55.5771644663,-38.0918830920,4,2,-28,-33,-19,6,-0.4228355337,-0.0918830920,0.4327035835,-74
10322,-54.5771644663,-39.0918830920,4,2,-27,-33,-20,6,0.5771644663,0.9081169080,1.0760088939,-74
10323,-54.5771644663,-38.0918830920,6,3,-27,-33,-19,6,0.5771644663,-0.0918830920,0.5844324800,-73
10324,-55.2842712475,-37.3847763109,3,0,-27,-33,-19,7,1.2842712475,0.6152236891,1.4240269747,-72
10325,-55.2842712475,-36.3847763109,4,1,-27,-33,-18,7,1.2842712475,-0.3847763109,1.3406735048,-71
