index,n0,n1,n2,n3,x,y,perp_x,perp_y,perp_r,k_sum_mod5
12089,2,-12,-19,-17,5.5355339059,-39.5060966544,-1.3974339059,-1.4133966544,1.9875894003,4
12090,2,-12,-19,-16,4.8284271247,-38.7989898732,-0.6903271247,-0.7062898732,0.9876218528,0
12091,2,-12,-18,-17,5.5355339059,-38.5060966544,-1.3974339059,-2.4133966544,2.7887819802,0
12092,2,-12,-18,-16,4.8284271247,-37.7989898732,-0.6903271247,-1.7062898732,1.8406457211,1
12093,2,-12,-18,-15,4.1213203436,-37.0918830920,0.0167796564,-0.9991830920,0.9993239756,2
12094,2,-12,-17,-15,4.1213203436,-36.0918830920,0.0167796564,-1.9991830920,1.9992535088,3
12095,2,-11,-18,-17,6.2426406871,-37.7989898732,-2.1045406871,-1.7062898732,2.7093387819,1
12096,2,-11,-18,-16,5.5355339059,-37.0918830920,-1.3974339059,-0.9991830920,1.7179023176,2
12097,2,-11,-18,-15,4.8284271247,-36.3847763109,-0.6903271247,-0.2920763109,0.7495732856,3
12098,2,-11,-17,-16,5.5355339059,-36.0918830920,-1.3974339059,-1.9991830920,2.4391708749,3
12099,2,-11,-17,-15,4.8284271247,-35.3847763109,-0.6903271247,-1.2920763109,1.4649275519,4
12100,2,-11,-16,-15,4.8284271247,-34.3847763109,-0.6903271247,-2.2920763109,2.3937763793,0
12101,2,-11,-16,-14,4.1213203436,-33.6776695297,0.0167796564,-1.5849695297,1.5850583481,1
12102,2,-10,-17,-16,6.2426406871,-35.3847763109,-2.1045406871,-1.2920763109,2.4695247917,4
12103,2,-10,-17,-15,5.5355339059,-34.6776695297,-1.3974339059,-0.5849695297,1.5149293291,0
12104,2,-10,-16,-15,5.5355339059,-33.6776695297,-1.3974339059,-1.5849695297,2.1130428134,1
12105,2,-10,-16,-14,4.8284271247,-32.9705627485,-0.6903271247,-0.8778627485,1.1167786461,2
12106,2,-10,-15,-15,5.5355339059,-32.6776695297,-1.3974339059,-2.5849695297,2.9385181624,2
12107,2,-10,-15,-14,4.8284271247,-31.9705627485,-0.6903271247,-1.8778627485,2.0007298771,3
12108,2,-10,-15,-13,4.1213203436,-31.2634559673,0.0167796564,-1.1707559673,1.1708762069,4
12109,2,-9,-16,-15,6.2426406871,-32.9705627485,-2.1045406871,-0.8778627485,2.2802926367,2
12110,2,-9,-15,-15,6.2426406871,-31.9705627485,-2.1045406871,-1.8778627485,2.8205425020,3
12111,2,-9,-15,-14,5.5355339059,-31.2634559673,-1.3974339059,-1.1707559673,1.8230444472,4
12112,2,-9,-15,-13,4.8284271247,-30.5563491861,-0.6903271247,-0.4636491861,0.8315780823,0
12113,2,-9,-14,-14,5.5355339059,-30.2634559673,-1.3974339059,-2.1707559673,2.5816667080,0
12114,2,-9,-14,-13,4.8284271247,-29.5563491861,-0.6903271247,-1.4636491861,1.6182770094,1
