vertex_id,substrate,degree,mean_abs_dev_from_regular,max_dev_from_regular,std_spacing,regularity,mean_snap_to_grid,max_snap_to_grid,is_commensurate
5590,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5591,AB,7,11.020408163265305,38.57142857142857,15.746719775034716,0.6938137821524439,6.014322255887036e-15,1.4033418597069752e-14,False
5592,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,1.3504813548409578e-09,4.0514300311042765e-09,False
5593,AB,3,100.00000000270093,150.00000000405143,106.0660171808469,0.11611652349336443,1.3504766770347589e-09,4.05141599768568e-09,False
5594,AB,4,67.49999999797429,134.99999999594857,77.94228633826039,0.13397459624210262,2.025711507197489e-09,4.0514300311042765e-09,True
5595,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,1.0128555896987606e-09,4.0514223587950425e-09,True
5596,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5597,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5598,AB,8,0.0,0.0,0.0,1.0,5.2625319739011566e-15,1.4033418597069752e-14,True
5599,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
5600,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,3.508354649267438e-15,1.4033418597069752e-14,True
5601,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,7.016709298534876e-15,1.4033418597069752e-14,False
5602,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
5603,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5604,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
5605,AB,5,43.199999999999996,108.0,54.0,0.25000000000059686,8.102844717590084e-10,4.0514223587950425e-09,False
5606,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
5607,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.0128504910667706e-09,4.051401964267082e-09,True
5608,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,7.016709298534876e-15,1.4033418597069752e-14,False
5609,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
5610,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5611,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
5612,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,1.0128555896987606e-09,4.0514223587950425e-09,True
5613,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5614,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5615,AB,8,0.0,0.0,0.0,1.0,5.2625319739011566e-15,1.4033418597069752e-14,True
5616,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.012862606408059e-09,4.0514223587950425e-09,True
5617,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,3.508354649267438e-15,1.4033418597069752e-14,True
5618,AB,5,43.199999999999996,108.0,54.0,0.25000000000059686,8.42005115824185e-15,1.4033418597069752e-14,False
5619,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,1.0128555896987606e-09,4.0514223587950425e-09,True
5620,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5621,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5622,AB,8,0.0,0.0,0.0,1.0,5.2625319739011566e-15,1.4033418597069752e-14,True
5623,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
5624,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,3.508354649267438e-15,1.4033418597069752e-14,True
5625,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,7.016709298534876e-15,1.4033418597069752e-14,False
5626,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
5627,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5628,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
5629,AB,4,67.49999999797429,134.99999999594857,77.94228633826039,0.13397459624210262,1.01285399942142e-09,4.05141599768568e-09,True
5630,AB,3,100.00000000270093,150.00000000405143,106.0660171808469,0.11611652349336443,1.3504766770347589e-09,4.0514300311042765e-09,False
