family,extent,offx,offy,k,law,movable_feasible_frac,groups_fail_frac,distinct_frac,destchange,con_med,con_p95,con_max,unc_med,unc_p95,ratio_med,ratio_p95,lambda
silver,14,0.29,0.11,16,DW,1.0000,0.0000,1.000,0.5095,0.0000,1.8023,3.6046,2.2093,4.9261,0.0000,0.3659,1.0000
silver,14,0.29,0.11,32,U,1.0000,0.0000,1.000,0.9404,2.2093,4.9317,6.9862,2.2093,4.9261,1.0000,1.0011,1.0000
silver,14,0.29,0.11,32,DW,1.0000,0.0000,1.000,0.5181,0.0000,1.8554,3.6046,2.2093,4.9261,0.0000,0.3766,1.0000
silver,14,0.41,0.23,2,U,0.0232,0.9091,0.500,0.2909,0.0000,0.0000,0.0000,2.2607,4.8368,0.0000,0.0000,1.0000
silver,14,0.41,0.23,2,DW,0.0232,0.9091,0.500,0.2909,0.0000,0.0000,0.0000,2.2607,4.8368,0.0000,0.0000,1.0000
silver,14,0.41,0.23,4,U,0.1130,0.7273,1.000,0.6750,0.0000,1.6200,2.1912,2.2607,4.8368,0.0000,0.3349,1.0000
silver,14,0.41,0.23,4,DW,0.1130,0.7273,1.000,0.5056,0.0000,1.1787,1.7329,2.2607,4.8368,0.0000,0.2437,1.0000
silver,14,0.41,0.23,6,U,0.4768,0.4848,1.000,0.7470,0.8785,2.1515,4.0728,2.2607,4.8368,0.3886,0.4448,1.0000
silver,14,0.41,0.23,6,DW,0.4768,0.4848,1.000,0.4472,0.0000,1.7569,3.6744,2.2607,4.8368,0.0000,0.3632,1.0000
silver,14,0.41,0.23,8,U,0.7183,0.3333,1.000,0.8086,1.3093,2.3722,5.1946,2.2607,4.8368,0.5792,0.4905,1.0000
silver,14,0.41,0.23,8,DW,0.7183,0.3333,1.000,0.4685,0.0000,2.0830,3.6744,2.2607,4.8368,0.0000,0.4307,1.0000
silver,14,0.41,0.23,12,U,1.0000,0.0000,1.000,0.8781,1.4354,2.6933,5.4273,2.2607,4.8368,0.6349,0.5568,1.0000
silver,14,0.41,0.23,12,DW,1.0000,0.0000,1.000,0.5426,0.0000,1.9782,3.2401,2.2607,4.8368,0.0000,0.4090,1.0000
silver,14,0.41,0.23,16,U,1.0000,0.0000,1.000,0.8945,1.7329,2.9520,5.5535,2.2607,4.8368,0.7665,0.6103,1.0000
