family,extent,offx,offy,lambda,policy,movable_feasible_frac,frac_escalated,partner_turnover,abs_con_med,abs_con_p95,abs_con_max,abs_unc_med,abs_unc_p95,abs_unc_max,ratio_med_paired,ratio_p95_paired,reps
silver,18,0.13,0.37,2.0,A,1.0000,0.0802,0.7786,0.0000,1.3230,2.9475,2.1985,4.9743,6.8212,0.0000,0.2662,40
silver,18,0.13,0.37,2.0,B,0.9198,0.0802,0.6999,0.0000,1.3316,2.7115,2.3391,5.0608,6.8212,0.0000,0.2660,40
silver,18,0.29,0.11,0.25,A,1.0000,0.0396,0.6445,0.0000,1.1317,2.3751,2.1980,4.9714,6.7990,0.0000,0.2276,40
silver,18,0.29,0.11,0.25,B,0.9604,0.0396,0.6053,0.0000,1.1317,2.3751,2.2148,5.0077,6.9079,0.0000,0.2260,40
silver,18,0.29,0.11,0.5,A,1.0000,0.0396,0.6593,0.0000,1.1317,2.2732,2.1980,4.9799,6.9079,0.0000,0.2273,40
silver,18,0.29,0.11,0.5,B,0.9604,0.0396,0.6238,0.0000,1.1317,2.3751,2.2148,5.0048,6.8993,0.0000,0.2261,40
silver,18,0.29,0.11,1.0,A,1.0000,0.0396,0.6918,0.0000,1.1317,2.4837,2.1980,4.9799,6.8908,0.0000,0.2313,40
silver,18,0.29,0.11,1.0,B,0.9604,0.0396,0.6538,0.0000,1.3031,2.4212,2.2148,5.0048,6.8908,0.0000,0.2555,40
silver,18,0.29,0.11,2.0,A,1.0000,0.0396,0.7754,0.0000,1.5805,3.2328,2.1980,4.9837,6.7073,0.0000,0.3097,40
silver,18,0.29,0.11,2.0,B,0.9604,0.0396,0.7417,0.0000,1.5805,3.0748,2.2148,5.0048,6.8908,0.0000,0.3140,40
silver,18,0.41,0.23,0.25,A,1.0000,0.0407,0.6519,0.0000,1.1373,2.3882,2.1996,4.9688,6.6301,0.0000,0.2292,40
silver,18,0.41,0.23,0.25,B,0.9593,0.0407,0.6142,0.0000,1.1373,2.3882,2.2019,4.9716,6.8210,0.0000,0.2320,40
silver,18,0.41,0.23,0.5,A,1.0000,0.0407,0.6709,0.0000,1.1373,2.3882,2.1996,4.9688,6.5646,0.0000,0.2296,40
silver,18,0.41,0.23,0.5,B,0.9593,0.0407,0.6285,0.0000,1.3081,2.3882,2.2019,4.9728,6.5646,0.0000,0.2570,40
silver,18,0.41,0.23,1.0,A,1.0000,0.0407,0.7064,0.0000,1.3081,2.3882,2.1996,4.9521,6.5646,0.0000,0.2639,40
silver,18,0.41,0.23,1.0,B,0.9593,0.0407,0.6671,0.0000,1.3081,2.3882,2.2019,4.9728,6.5646,0.0000,0.2631,40
silver,18,0.41,0.23,2.0,A,1.0000,0.0407,0.7887,0.0000,1.4406,2.7231,2.1996,4.8441,6.5646,0.0000,0.3012,40
silver,18,0.41,0.23,2.0,B,0.9593,0.0407,0.7434,0.0000,1.5789,2.7230,2.2019,4.9728,6.6301,0.0000,0.3111,40
silver,18,0.05,0.47,0.25,A,1.0000,0.0000,0.6757,0.0000,1.1488,2.4578,2.1851,4.9711,6.5822,0.0000,0.2311,40
silver,18,0.05,0.47,0.25,B,1.0000,0.0000,0.6772,0.0000,1.1488,2.4578,2.1956,4.9759,6.5553,0.0000,0.2309,40
silver,18,0.05,0.47,0.5,A,1.0000,0.0000,0.6909,0.0000,1.1488,2.4578,2.1956,4.9732,6.5553,0.0000,0.2310,40
silver,18,0.05,0.47,0.5,B,1.0000,0.0000,0.6948,0.0000,1.1488,2.4578,2.1851,4.9809,6.5553,0.0000,0.2306,40
silver,18,0.05,0.47,1.0,A,1.0000,0.0000,0.7280,0.0000,1.1488,2.5285,2.1851,4.9709,6.5553,0.0000,0.2313,40
silver,18,0.05,0.47,1.0,B,1.0000,0.0000,0.7259,0.0000,1.1488,2.5285,2.1851,4.9713,6.5553,0.0000,0.2311,40
silver,18,0.05,0.47,2.0,A,1.0000,0.0000,0.7837,0.0000,1.3240,2.9428,2.1851,4.9730,6.5553,0.0000,0.2664,40
silver,18,0.05,0.47,2.0,B,1.0000,0.0000,0.7894,0.0000,1.3240,2.8044,2.1851,4.9771,6.7195,0.0000,0.2658,40
