substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,texture_low_q25,1,128,3.0,114.93327258139747,0.06653134866937303,295,1.2460553357078208,1.08239220030269
AB_N30,texture_low_q25,1,256,1.0,226.64844602362476,0.005187189896256202,23,1.4460723117705523,1.84775906504015
AB_N30,texture_low_q25,1,256,2.0,226.64844602362476,0.01849345963013081,82,1.1921413243847439,1.4142135623730951
AB_N30,texture_low_q25,1,256,3.0,226.64844602362476,0.032025259359494816,142,1.2790184860428135,1.08239220030269
AB_N30,texture_low_q25,1,512,1.0,421.08367573265383,0.005187189896256202,23,1.0443855585009545,1.84775906504015
AB_N30,texture_low_q25,1,512,2.0,421.08367573265383,0.013757329724853405,61,1.1004458198968425,1.4142135623
AB_N30,texture_low_q25,1,512,3.0,421.08367573265383,0.020523229589535407,91,1.2077648192549733,1.08239220030269
AB_N30,texture_low_q25,1,1024,1.0,797.3278339842313,0.0009021199819576004,4,1.3858192987801126,1.84775906504015
AB_N30,texture_low_q25,1,1024,2.0,797.3278339842313,0.004961659900766802,22,1.1673739643927834,1.08979021351873
AB_N30,texture_low_q25,1,1024,3.0,797.3278339842313,0.008344609833107803,37,1.297014507717609,1.08239220030269
AB_N30,depth_high_q25,1,64,1.0,59.614118525581965,0.014823529411764706,63,0.20530656278016501,0.0
AB_N30,depth_high_q25,1,64,2.0,59.614118525581965,0.08823529411764706,375,0.7802829792056427,0.76536686473746
AB_N30,depth_high_q25,1,64,3.0,59.614118525581965,0.1223529411764706,520,0.8645249735469945,0.76536686473746
AB_N30,depth_high_q25,1,128,1.0,118.37000808925949,0.006588235294117647,28,0.1979741855353498,0.0
AB_N30,depth_high_q25,1,128,2.0,118.37000808925949,0.04894117647058824,208,0.8231236579089054,0.76536686473746
AB_N30,depth_high_q25,1,128,3.0,118.37000808925949,0.06776470588235294,288,0.8951426974595454,0.76536686473746
AB_N30,depth_high_q25,1,256,1.0,227.72975988977254,0.002823529411764706,12,0.15397992208667918,0.0
AB_N30,depth_high_q25,1,256,2.0,227.72975988977254,0.025411764705882352,108,0.7695290597297707,0.76536686473746
AB_N30,depth_high_q25,1,256,3.0,227.72975988977254,0.035529411764705886,151,0.8586225368437747,0.76536686473746
AB_N30,depth_high_q25,1,512,1.0,447.4771692705666,0.0018823529411764706,8,0.23096988313001876,0.0
AB_N30,depth_high_q25,1,512,2.0,447.4771692705666,0.012470588235294117,53,0.7703999030469005,0.76536686473746
AB_N30,depth_high_q25,1,512,3.0,447.4771692705666,0.016941176470588234,72,0.8527312037094966,0.76536686473746
AB_N30,depth_high_q25,1,1024,1.0,844.6504898338114,0.002352941176470588,10,0.3695518130080301,0.0
AB_N30,depth_high_q25,1,1024,2.0,844.6504898338114,0.006823529411764706,29,0.7407490361489494,0.76536686473746
AB_N30,depth_high_q25,1,1024,3.0,844.6504898338114,0.008705882352941176,37,0.8146178283973725,0.76536686473746
AB_N30,depth_low_q25,1,64,1.0,58.74354843937963,0.023294117647058823,99,1.1758466777430379,1.8477590650401496
AB_N30,depth_low_q25,1,64,2.0,58.74354843937963,0.08235294117647059,350,1.1380018899741233,1.4142135623
AB_N30,depth_low_q25,1,64,3.0,58.74354843937963,0.12847058823529411,546,1.2529054634056793,1.08239220030269
AB_N30,depth_low_q25,1,128,1.0,116.17796323947493,0.011529411764705882,49,1.1312810602202066,1.8477590650018818
AB_N30,depth_low_q25,1,128,2.0,116.17796323947493,0.044941176470588234,191,1.1171853382212067,1.4142135623
AB_N30,depth_low_q25,1,128,3.0,116.17796323947493,0.06776470588235294,288,1.220192573260982,1.08239220030269
AB_N30,depth_low_q25,1,256,1.0,228.75352172662548,0.0051764705882352945,22,1.4278138229754325,1.84775906504015
AB_N30,depth_low_q25,1,256,2.0,228.75352172662548,0.02,85,1.269202518560841,1.4142135623730951
AB_N30,depth_low_q25,1,256,3.0,228.75352172662548,0.034352941176470586,146,1.3850662494915917,1.4142135623365477
