vertex_id,degree,vertex_type,depth,balance,drift_x,drift_y,boundary_dist,nearest_edge,perp_x,perp_y,cos_alignment,type_rank
896,4,E,0.3853565160949378,0.6532814824381883,0.6035533906,-0.25,0.5411961001517345,3,-0.372583002,0.4436508139,0.7071067811837616,4
897,4,E,0.3397230603953648,0.6532814824381883,-0.6035533906,0.25,0.20823943880679086,7,1.3345237792,-0.2634559673,0.7071067811837619,4
898,5,D,0.611358647679245,0.482842712474619,-0.34142135624,-0.34142135624000003,0.8535552584191616,1,0.627416998,0.4436508139,-0.9238795325112868,3
899,3,F,0.19271836160816658,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.3329566613184862,2,-0.372583002,0.8578643763,0.9238795325112867,5
900,3,F,0.334784504790424,0.8047378541243652,-0.8047378541333333,3.700743415417188e-17,0.3282904839662112,0,1.3345237792,0.1507575951,-0.3826834323650897,5
901,4,E,0.34811110447304294,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.47087182602921485,1,0.627416998,0.8578643763,-0.7071067811837615,4
902,5,D,0.7542733507576735,0.48284271246461896,-2.000000165480742e-11,0.48284271244,0.7925633389315963,6,0.3345237792,-0.4350288425,0.38268343240335834,3
903,4,E,0.4430439187466153,0.6532814824449532,0.6035533906,-0.249999999975,0.6068541969722859,3,-0.372583002,0.2720779386,0.7071067811587615,4
904,3,F,0.30780941859246347,0.8047378541243649,-0.5690355937333333,0.5690355937,0.14258134202450767,7,1.3345237792,-0.4350288425,0.9238795325000785,5
905,6,C,0.7111132317466242,0.30795984416405087,-0.2845177968666666,-0.11785113016666666,0.9351446809505362,0,0.627416998,0.2720779386,-0.707106781118623,2
906,3,F,0.2794155001476635,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.44834152918088255,3,-0.372583002,0.686291501,0.9238795325112867,5
907,3,F,0.35130998718940176,0.8047378541243652,-0.8047378541333333,0.0,0.3010940097776428,7,1.3345237792,-0.0208152802,0.38268343236509045,5
908,4,E,0.4591696108259128,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.6293844938529961,1,0.627416998,0.686291501,-0.7071067811837615,4
909,3,F,0.05930542692459917,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.10878589675232098,2,-0.372583002,1.1005050634,0.9238795325112867,5
910,3,F,0.27951962009927667,0.8047378541243652,-0.8047378541333333,0.0,0.23543591299535938,0,1.3345237792,0.3933982822,-0.3826834323650897,5
911,4,E,0.18872830183700895,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.2467010614630496,1,0.627416998,1.1005050634,-0.7071067811837615,4
912,6,C,0.9150780583606936,0.307959844181317,-0.11785113021666667,0.2845177968666667,1.0167341034977617,6,0.3345237792,-0.1923881554,0.7071067812246892,2
913,4,E,0.3568417458552251,0.6532814824545203,0.6035533906,-0.250000000025,0.5139996259631658,3,-0.372583002,0.5147186258,0.7071067812087616,4
914,3,F,0.34734545813789675,0.8047378541243652,-0.8047378541333333,0.0,0.2354359129953595,7,1.3345237792,-0.1923881554,0.38268343236509045,5
915,5,D,0.5676713885233738,0.4828427124887612,-0.34142135624,-0.34142135626000003,0.7878971615843894,1,0.627416998,0.5147186258,-0.9238795325000783,3
916,3,F,0.1547534609289566,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.2672985645761021,2,-0.372583002,0.9289321881,0.9238795325112867,5
917,3,F,0.3222270957537394,0.8047378541410318,-0.8047378541333333,3.33333360913457e-11,0.30109400981591095,0,1.3345237792,0.2218254069,-0.3826834323268214,5
918,4,E,0.3016467940659757,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.40521372928683075,1,0.627416998,0.9289321881,-0.7071067811837615,4
919,5,D,0.8019012995738068,0.4828427124846191,-2.000000165480742e-11,0.48284271248,0.8582214356739803,6,0.3345237792,-0.3639610307,0.38268343240335834,3
920,4,E,0.42126413718963496,0.6532814824381883,0.6035533906,-0.25,0.5796577227837174,3,-0.372583002,0.3431457505,0.7071067811837616,4
921,4,E,0.32325092541475264,0.6532814824381883,-0.6035533906,0.25,0.1697778161748078,7,1.3345237792,-0.3639610307,0.7071067811837619,4
922,5,D,0.6710764719123752,0.482842712474619,-0.34142135624,-0.34142135624000003,0.9079482067619675,0,0.627416998,0.3431457505,-0.9238795325112867,3
923,3,F,0.24445431340251356,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.4211450549923139,3,-0.372583002,0.7573593129,0.9238795325112867,5
924,3,F,0.34690553340209207,0.8047378541243652,-0.8047378541333333,0.0,0.3282904839662114,7,1.3345237792,0.0502525317,0.38268343236509045,5
