substrate,lambda,seed,walkers,alpha_vs_cost_time,alpha_vs_cost_time_r2,alpha_vs_steps,alpha_vs_steps_r2,mean_cost_time_at_1024,msd_phys_at_1024,near_return_frac_d2,near_return_mean_perp_mismatch,final_mean_perp_mismatch
AB_N30,8,0,5000,0.9431017520807876,0.9996037984881835,0.9434398620487202,0.9996199881788819,17716.764055893593,804.2532961297859,0.0086,0.9009704221083218,1.0594449724996862
AB_N30,8,1,5000,0.9359326208142631,0.9998428661847495,0.9386445105741058,0.9998401870661967,17660.48966794043,809.8041875981002,0.0062,1.0711154732397081,1.0879191379718183
AB_N30,8,2,5000,0.9284639417479095,0.9997537810308611,0.930410563104046,0.999757372229869,17671.432664624772,790.1901028344575,0.007,1.1540619328314885,1.0988226242035606
AB_N30,8,3,5000,0.9537549744555541,0.9996322154586242,0.957787652000718,0.9996187569919419,17715.390705008926,827.1228113530233,0.004,0.9668931194570055,1.0857739418309302
AB_N30,8,4,5000,0.9419945185585614,0.9998136260182252,0.9437891206754978,0.9998086122126776,17693.768931111492,799.0884353539684,0.0076,1.0794760422469625,1.0904672846599077
AB_N30,8,5,5000,0.9629998501056308,0.9997297994165074,0.9654151973474162,0.9997426456888127,17693.21042018675,814.7143382874416,0.0054,0.9410124962792176,1.064209381799672
AB_N30,8,6,5000,0.9339215237225515,0.9993164180895058,0.9354853689885921,0.9993508401410415,17705.850931410183,789.4589979720784,0.0074,1.0501433839177305,1.0873596417419875
AB_N30,8,7,5000,0.9374609754546843,0.9994081713512286,0.9379018717210532,0.999452995220237,17690.20817612643,802.5478494065248,0.005,1.0697477870282228,1.0800602861414468
AB_N30,8,8,5000,0.9458663852340952,0.9993359172236045,0.946875642228558,0.9993628239333487,17670.6136663239,803.0443024654187,0.0062,1.0771787539841566,1.0810887227714454
AB_N30,8,9,5000,0.9505647655181114,0.9994191529781482,0.952185767174137,0.9994863918954672,17699.320229436733,817.4476754862361,0.009,0.892683060881877,1.08655976343461
AB_N30,9,0,5000,0.9495839817797185,0.9995556288847784,0.9521513328360448,0.9995326278801305,30570.354540232915,826.2580169235715,0.0058,1.0623018943280247,1.0970057473022305
AB_N30,9,1,5000,0.9322176352860272,0.9997863155869271,0.9342185268530476,0.9997483944963891,30493.564183264232,779.7981900274082,0.0056,1.033607651504979,1.0857121549112592
AB_N30,9,2,5000,0.9450906861813213,0.9988571749720798,0.9454962693315826,0.9988652368095293,30447.064453358667,805.9738193899462,0.0058,0.8686909036058827,1.0832330023963361
AB_N30,9,3,5000,0.9387674260470702,0.9996306999318555,0.9420613890834367,0.9995999359780056,30526.25822499472,808.6574026782055,0.0046,0.9000677894299564,1.0877042852651284
AB_N30,9,4,5000,0.9501464601388734,0.9998469426505147,0.9527036853925,0.9998506380526875,30490.781587674755,841.847202281446,0.0062,0.9013744207424753,1.0953933297864058
AB_N30,9,5,5000,0.9471233463135418,0.9996285358780844,0.9490824306138919,0.9996606767204155,30494.328165185307,800.1969124528441,0.0068,1.0239167554820965,1.0808937576122928
AB_N30,9,6,5000,0.9377224298405868,0.9994224141715172,0.9414432693109593,0.9993750903511052,30508.480737190042,798.4687426848009,0.0076,0.9508301403463311,1.088029529779391
