vertex_id,degree,vertex_type,depth,resultant_mag,net_drift,perp_x,perp_y,perp_dist_from_centre,type_rank
6616,4,E,0.5788826646791096,0.6532814824545202,0.6532814824539697,0.2218254069,-0.6776695297,0.6233265344880606,4
6617,3,F,0.4140974986218431,0.8047378540910316,0.8047378540666666,-0.4852813742,0.0294372515,0.8672370978355586,5
6618,3,F,0.2977123148209909,0.8047378541243649,0.8047378541071364,1.2218254069,-0.6776695297,1.0395073113831945,5
6619,7,B,0.8831274307456972,0.14285714287142856,0.1428571428857143,0.5147186258,0.0294372515,0.17299162836526089,1
6620,4,E,0.321342163461529,0.6532814824150912,0.6532814823982086,-0.4852813742,0.4436508139,1.004531046033395,4
6621,4,E,0.4142255575363536,0.6532814824150912,0.6532814823982086,1.2218254069,-0.2634559673,0.8670475484803146,4
6622,5,D,0.6381244476094042,0.48284271248876115,0.4828427124925661,0.5147186258,0.4436508139,0.535638443417917,3
6623,3,F,0.14297404329114471,0.8047378541243649,0.8047378541071364,-0.4852813742,0.8578643763,1.268546732122963,5
6624,3,F,0.4086644645069484,0.8047378540910316,0.8047378540666666,1.2218254069,0.1507575951,0.8752789285619338,5
6625,4,E,0.36370529878392865,0.6532814824545202,0.6532814824539697,0.5147186258,0.8578643763,0.941826274427546,4
6626,5,D,0.7346216308496257,0.48284271246461896,0.48284271244,0.2218254069,-0.4350288425,0.39280591250072483,3
6627,4,E,0.37311091632310867,0.6532814824218561,0.6532814823886415,-0.4852813742,0.2720779386,0.9279043327412704,4
6628,3,F,0.37847456893604414,0.8047378541243649,0.8047378540835661,1.2218254069,-0.4350288425,0.9199651986448996,5
6629,6,C,0.7482712182602609,0.30795984417493893,0.3079598441760002,0.5147186258,0.2720779386,0.3726021609468262,2
6630,3,F,0.22409287397552047,0.8047378541243649,0.8047378541071364,-0.4852813742,0.686291501,1.1484768243532284,5
6631,3,F,0.4273178951720712,0.8047378540910316,0.8047378540666666,1.2218254069,-0.0208152802,0.8476686230304731,5
6632,4,E,0.4780715331211678,0.6532814824545202,0.6532814824539697,0.5147186258,0.686291501,0.7725444554837596,4
6633,4,E,0.6252200865888866,0.6532814824545202,0.6532814824539697,0.2218254069,-0.6066017178,0.554739130946187,4
6634,3,F,0.40647196524689,0.8047378540910316,0.8047378540666666,-0.4852813742,0.1005050634,0.8785242068989048,5
6635,3,F,0.3244793369979232,0.8047378541243649,0.8047378541071364,1.2218254069,-0.6066017178,0.9998874862829084,5
6636,7,B,0.8494909160189666,0.14285714287142856,0.1428571428857143,0.5147186258,0.1005050634,0.22277949126787241,1
6637,4,E,0.2954133221081451,0.6532814824314233,0.6532814824077756,-0.4852813742,0.5147186258,1.0429102184599586,4
6638,4,E,0.4228310373182177,0.6532814824150912,0.6532814823982086,1.2218254069,-0.1923881554,0.8543099491460363,4
