model,checkpoint,reader,auc,paired_frac,tie_frac,bal_acc,signed_sep
Growing-MatchedControl,400,added_D0,0.5446,0.5450,0.0000,0.5525,3.922890
Growing-MatchedControl,400,full_M0,0.7664,0.7950,0.0000,0.6900,112.401194
Growing-MatchedControl,400,departure_R0,0.7635,0.7750,0.0000,0.6800,109.401194
Growing-MatchedControl,400,original_B1,0.8239,0.8400,0.0000,0.7338,105.105000
Growing-MatchedControl,400,added_D1,0.5453,0.5550,0.0200,0.5525,4.140000
Growing-MatchedControl,400,full_M1,0.7544,0.7750,0.0100,0.6775,109.245000
Growing-MatchedControl,400,departure_R1,0.7520,0.7600,0.0000,0.6725,106.245000
Growing-MatchedControl,1000,presence,0.5406,0.5425,0.0650,0.5262,0.600000
Growing-MatchedControl,1000,original_B0,0.7163,0.7750,0.0000,0.6550,62.590126
Growing-MatchedControl,1000,added_D0,0.5146,0.5000,0.0000,0.5025,2.030179
Growing-MatchedControl,1000,full_M0,0.6503,0.7100,0.0000,0.6050,64.620305
Growing-MatchedControl,1000,departure_R0,0.6467,0.6950,0.0000,0.6100,61.020305
Growing-MatchedControl,1000,original_B1,0.7095,0.7525,0.0050,0.6488,60.585000
Growing-MatchedControl,1000,added_D1,0.5129,0.5050,0.0100,0.5025,1.730000
Growing-MatchedControl,1000,full_M1,0.6454,0.7075,0.0050,0.5950,62.315000
Growing-MatchedControl,1000,departure_R1,0.6411,0.6850,0.0100,0.6075,58.715000
Growing-MatchedControl,2000,presence,0.4858,0.4925,0.1550,0.4900,-0.145000
Growing-MatchedControl,2000,original_B0,0.6532,0.6800,0.0000,0.6225,31.094110
Growing-MatchedControl,2000,added_D0,0.4905,0.5300,0.0000,0.4900,-1.338543
Growing-MatchedControl,2000,full_M0,0.5887,0.5900,0.0000,0.5675,29.755567
Growing-MatchedControl,2000,departure_R0,0.5930,0.5650,0.0000,0.5650,30.625567
Growing-MatchedControl,2000,original_B1,0.6504,0.6700,0.0000,0.6175,29.895000
Growing-MatchedControl,2000,added_D1,0.4914,0.5175,0.0050,0.5000,-1.330000
Growing-MatchedControl,2000,full_M1,0.5865,0.5850,0.0000,0.5625,28.565000
Growing-MatchedControl,2000,departure_R1,0.5908,0.5700,0.0000,0.5600,29.435000
Growing-MatchedControl,5000,presence,0.4805,0.4800,0.8900,0.4900,-0.060000
Growing-MatchedControl,5000,original_B0,0.6056,0.5750,0.0000,0.5625,5.727162
Growing-MatchedControl,5000,added_D0,0.5003,0.5050,0.0000,0.5000,0.032648
Growing-MatchedControl,5000,full_M0,0.5621,0.5450,0.0000,0.5475,5.759809
Growing-MatchedControl,5000,departure_R0,0.5654,0.5450,0.0000,0.5525,6.119809
Growing-MatchedControl,5000,original_B1,0.5993,0.5850,0.0100,0.5725,5.245000
Growing-MatchedControl,5000,added_D1,0.5006,0.4975,0.0150,0.4888,0.025000
Growing-MatchedControl,5000,full_M1,0.5595,0.5575,0.0050,0.5425,5.270000
Growing-MatchedControl,5000,departure_R1,0.5629,0.5525,0.0050,0.5475,5.630000
Growing-MatchedControl,10000,presence,0.5025,0.5025,0.9950,0.5012,0.010000
Growing-MatchedControl,10000,original_B0,0.5564,0.5350,0.0000,0.5525,0.396367
Growing-MatchedControl,10000,added_D0,0.4977,0.4500,0.0000,0.4675,0.064798
Growing-MatchedControl,10000,full_M0,0.5310,0.5250,0.0000,0.5225,0.461165
Growing-MatchedControl,10000,departure_R0,0.5274,0.5250,0.0000,0.5200,0.401165
Growing-MatchedControl,10000,original_B1,0.5370,0.5350,0.4500,0.5212,0.360000
Growing-MatchedControl,10000,added_D1,0.4988,0.4875,0.2650,0.4938,0.075000
Growing-MatchedControl,10000,full_M1,0.5276,0.5150,0.1400,0.5200,0.435000
Growing-MatchedControl,10000,departure_R1,0.5237,0.5150,0.1400,0.5175,0.375000
