substrate,seed,threshold,control,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
AB_N30,8,2.0,real,158,0.9766373926600477,0.76536686473746,0.9894634137685052,0.9119652401920635,0.796182441316544,1.1776754429872658,1.0321344767384342,1.0180997252744954,0.8288521282567214,1.140186418599729,83,75,0.03883482678775543,-0.2492279107835254,0.02857781561182455,-0.24626685265713424,0.9357867309392572,0.4237978335543243,302.57655136637646
AB_N30,8,3.0,real,236,1.0803937237949854,1.0823922002644217,1.0835639402821613,1.049473341279121,0.8700060552183149,1.2678465903530547,1.164764279852198,1.0518823775465556,0.9259304965140764,1.2297081768331979,116,120,0.005816887799135085,-0.26058924655117777,0.0695164305947222,-0.25836487166070227,0.9363758213740285,0.41782374770456765,303.1182266205572
AB_N30,9,1.0,real,27,0.342177604633643,0.0,0.26396558072002146,0.26396558072002146,0.0,1.0558623228668875,0.0,0.5279311614268446,0.0,1.0265328139009293,18,9,0.06083903707265059,-0.46508063895537344,-0.2537213175696465,-0.4754458082344176,0.9390012616109632,0.4445344134110975,302.17188494595075
AB_N30,9,2.0,real,142,0.9326624722449327,0.76536686473746,0.8486886072231964,0.9737386471101619,0.64288255474832,1.0249209635441583,0.8360644337743582,0.9435278728418408,0.8178909045884662,1.0807548176081156,80,62,0.03751187593027009,-0.2571892273109161,-0.04452869375077619,-0.2727256703779858,0.9347496247251792,0.4151642968949979,303.9362868280626
AB_N30,9,3.0,real,203,1.0472094036772495,1.08239220030269,1.000378401587461,1.0949747176638391,0.7783662806057262,1.244102326545956,0.9556052006096294,1.0674332821868473,0.9047020985851383,1.1911276721861137,102,101,0.052322837095265626,-0.3007416821395567,-0.05878283902114011,-0.31519266141337765,0.9356992528005293,0.4076621638146493,303.5204037475736
AB_N30,0,1.0,SHUFFLED,7,0.5275747278648801,0.0,,,,,,,,,0,0,0.5790660241435863,,,,0.9409997257599907,,
AB_N30,0,2.0,SHUFFLED,31,0.9521849448750885,0.849883656254556,0.8159357127528988,1.0177217357574018,,,,,,,0,0,-0.10567808947551804,,,,0.9326186880930647,,
AB_N30,0,3.0,SHUFFLED,47,1.0032912216990504,0.8707616578759518,0.871072209106798,1.0621844605955535,,,,,,,0,0,-0.0924501137759497,,,,0.935515903956331,,
AB_N30,1,1.0,SHUFFLED,8,0.6710586855116887,0.5638855553024933,1.2979641571805898,0.5638855553024933,,,,,,,0,0,0.507346289431841,,,,0.9341275037910642,,
AB_N30,1,2.0,SHUFFLED,24,0.8840208816849358,0.8571567875057438,0.9974713428002602,0.6008068757342756,,,,,,,0,0,0.1974290133802549,,,,0.9292531606675686,,
