substrate,seed,threshold,phys_return_dist,perp_residue,start_depth,min_depth,max_depth,depth_range,depth_excursion,cum_abs_depth_change,mean_depth,sign_changes,dip_return,cum_perp_path
AB_N30,0,2.0,1.8477590650401456,0.76536686473746,0.3397230603953648,0.05930542692459917,0.9775275473069053,0.9182221203823061,0.28041763347076565,286.8553518450442,0.47007435257137886,781,True,1023.9999999957445
AB_N30,0,2.0,1.8477590650401536,0.76536686473746,0.3683540625757975,0.04754966341448852,0.9493125664860385,0.9017629030715499,0.320804399161309,299.4814742565069,0.4736156580406534,793,True,1023.9999999998355
AB_N30,0,2.0,1.847759065040147,0.76536686473746,0.4977204637538315,0.04282877336235291,0.9662125386819174,0.9233837653195645,0.4548916903914786,298.3848121819592,0.48135988672690827,787,True,1023.9999999985516
AB_N30,0,2.0,1.4142135624000005,1.4142135624,0.43457989231796756,0.05485222904311804,0.9618324739320407,0.9069802448889227,0.3797276632748495,306.42827215394294,0.4915121416602351,787,True,1024.0000000019497
AB_N30,0,2.0,1.847759064947764,0.7653668647757284,0.8088953628017694,0.018037913707911968,0.9662125386819174,0.9481746249740054,0.7908574490938575,304.30058176330186,0.49460746452490384,778,False,1023.9999999976114
AB_N30,0,2.0,0.7653668647374604,1.84775906504015,0.08719016962495896,0.017568767024822574,0.9822758956256835,0.9647071286008609,0.06962140260013638,319.7515131146792,0.4930648302712086,813,False,1023.9999999959084
AB_N30,0,2.0,1.8477590650401474,0.76536686473746,0.28934007467985157,0.047329220387317905,0.9744059615259641,0.9270767411386462,0.24201085429253366,306.5522114623437,0.49003221111702044,793,True,1023.9999999990137
AB_N30,0,2.0,0.0,0.0,0.1737526418450005,0.028738456943256274,0.9590168678298647,0.9302784108866085,0.14501418490174423,304.7880327902969,0.4764805971724839,773,False,1024.0000000005834
AB_N30,0,2.0,2.0,2.0,0.19444855262356353,0.032652340185237994,0.9522066039481875,0.9195542637629495,0.16179621243832554,310.281003255521,0.482114077728595,791,False,1024.0000000021164
AB_N30,0,2.0,1.8477590649477624,0.7653668647757284,0.2648024238227946,0.02682482733220537,0.9936912801191664,0.966866452786961,0.23797759649058925,282.57660012934093,0.47915775148613426,788,False,1024.0000000016958
AB_N30,0,2.0,1.847759065040149,0.76536686473746,0.7681780249572338,0.042983235987749,0.9817341603070816,0.9387509243193326,0.7251947889694847,305.03738753669995,0.4765592186744994,790,False,1024.0000000047849
AB_N30,0,2.0,1.4142135623730951,1.4142135623730951,0.41023779524310466,0.06537910845006478,0.9338153845108688,0.868436276060804,0.3448586867930399,291.99103572027605,0.47681703962696503,768,True,1024.000000001454
AB_N30,0,2.0,1.999999999967343,1.9999999999673386,0.3407545369657188,0.045671338129582795,0.9718142730042826,0.9261429348746998,0.295083198836136,312.59051434696573,0.4847018288910981,807,True,1023.9999999975681
AB_N30,0,2.0,0.7653668647374614,1.84775906504015,0.4164342666458162,0.026076132131182872,0.9645085025801804,0.9384323704489975,0.3903581345146333,304.3870922249196,0.47786993406396605,777,False,1024.0000000033428
AB_N30,0,2.0,1.4142135622999987,1.4142135623,0.5962669762416706,0.03541058683640219,0.9910209398909956,0.9556103530545934,0.5608563894052684,296.7072447719761,0.4774364830907916,770,False,1023.9999999973963
AB_N30,0,2.0,1.4142135622999987,1.4142135623,0.45385717709732887,0.062170482203569355,0.9794686958529206,0.9172982136493513,0.3916866948937595,305.0519694709937,0.4772240461929325,791,True,1023.999999992446
AB_N30,0,2.0,1.8477590650401456,0.76536686473746,0.322987960996841,0.051341314950073325,0.9536877089149015,0.9023463939648282,0.2716466460467677,310.9929789753169,0.48158451303284316,800,True,1024.0000000038117
AB_N30,0,2.0,0.0,0.0,0.1466195320654352,0.010826256818755597,0.930083853036739,0.9192575962179834,0.1357932752466796,304.0837036527086,0.4781007814665764,791,False,1024.0000000013058
AB_N30,0,2.0,1.4142135624000005,1.4142135624,0.1293197100925524,0.0032494217868330733,0.9614967083190668,0.9582472865322337,0.1260702883057193,308.9003831655831,0.4809144264553972,782,False,1023.9999999968132
AB_N30,0,2.0,0.7653668647757284,1.847759064947762,0.3578806755066384,0.04434375573837401,0.9714384566178691,0.9270947008794951,0.31353691976826437,301.3409127132216,0.4799580810811103,780,True,1023.9999999992756
AB_N30,0,2.0,1.847759064909493,0.7653668646833404,0.5536786178955517,0.06505238175392014,0.9860622635353012,0.9210098817813811,0.4886262361416316,314.2633049701688,0.5038701279487953,824,True,1023.999999998165
AB_N30,0,2.0,1.8477590650401505,0.76536686473746,0.423741632806932,0.010826256818755597,0.958137958435729,0.9473117016169734,0.4129153759881764,298.9745625229822,0.4716074534945891,787,True,1023.9999999977582
AB_N30,0,2.0,1.847759065040149,0.76536686473746,0.5964396277111814,0.04574436631360135,0.9910209398909956,0.9452765735773943,0.5506952613975801,293.5559282118072,0.48863121131345255,802,False,1024.000000001053
AB_N30,0,2.0,1.8477590650018827,0.7653668646450721,0.6746767316639671,0.007552027041436871,0.9522066039481875,0.9446545769067506,0.6671247046225303,301.424009538178,0.4828276055245055,802,True,1024.00000000052
AB_N30,0,2.0,1.847759064909495,0.7653668646833404,0.40187801090273734,0.02604649306590201,0.9690946256643168,0.9430481325984148,0.3758315178368353,299.0889174739244,0.4761695292978633,785,True,1023.9999999978446
