model,seed,history,checkpoint,M,struct_access,eff_alt,edge_count,total_weight,n_active
Fixed,61,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,62,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,63,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,64,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,65,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,66,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,67,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,68,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,69,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,70,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,71,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,72,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,73,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,74,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,75,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,76,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,77,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,78,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,79,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,80,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,81,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,82,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,83,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,84,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,85,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,86,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,87,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,88,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,89,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,90,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,91,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,92,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,93,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,94,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,95,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,96,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,97,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,98,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,99,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,100,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,101,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,102,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,103,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,104,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,105,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,106,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,107,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,108,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,109,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,110,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,111,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,112,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,113,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,114,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,115,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,116,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,117,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,118,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,119,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,120,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,121,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,122,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,123,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,124,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,125,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,126,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,127,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,128,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,129,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,130,A,0,0.000000,40,256.000000,144,144.000000,0
