vertex_id,substrate,depth,drift_mag,alignment_angle,radial_drift,tangential_drift,pos_mag,degree,depth_bin
198,AB_N30,0.5792517861927077,0.6532814823982086,148.77447422424206,-0.5586428084552016,0.33866636651088583,0.6227801707680758,4,"(0.578, 0.598]"
199,AB_N30,0.4549336030883887,0.48284271248,173.48549699894352,-0.4797250788161145,0.05478077901889176,0.8067925961630539,5,"(0.439, 0.459]"
200,AB_N30,0.5785391664737998,0.6532814824539697,-164.45843982694302,-0.6293951303710267,-0.17503846772208223,0.6238349712774308,4,"(0.578, 0.598]"
201,AB_N30,0.2482895737417662,0.8047378540666666,-168.8168109261128,-0.7894575743006127,-0.15607611011047237,1.1126615212386006,3,"(0.239, 0.259]"
202,AB_N30,0.4678996126792453,0.8047378541071364,173.59459805985938,-0.7997142018199732,0.08977866806988094,0.7876006580818322,3,"(0.459, 0.479]"
203,AB_N30,0.8416351471688552,2.5000002068509275e-11,67.01482811078608,9.762323041350737e-12,2.301515049400678e-11,0.2344073886788111,8,"(0.838, 0.858]"
204,AB_N30,0.7351105606927031,0.4828427124925661,-146.340146945571,-0.40189060474550187,-0.2676210507872533,0.3920822117191814,5,"(0.718, 0.738]"
205,AB_N30,0.14854432934552464,0.6532814823982085,-172.50737394130434,-0.6477035376456253,-0.08518698589422533,1.2603017447734441,4,"(0.14, 0.16]"
206,AB_N30,0.5808723308503341,0.6532814823982086,164.63874790386865,-0.6299428535677367,0.17305691688961178,0.6203814842246883,4,"(0.578, 0.598]"
207,AB_N30,0.5698981274668093,0.48284271247999994,171.73332130727294,-0.47782577122825665,0.06942346393810696,0.6366252044187458,5,"(0.558, 0.578]"
210,AB_N30,0.388839634140851,0.8047378541071364,-177.8806818781821,-0.8041873989353989,-0.029759724905922047,0.9046231083722872,3,"(0.379, 0.399]"
211,AB_N30,0.9313203277780322,2.5000002068509275e-11,25.78705703917514,2.2510428511321544e-11,1.0875693617519305e-11,0.10165780053503168,8,"(0.917, 0.937]"
