depth_bin,n,mean_depth,mean_radial,mean_tangential,mean_abs_tangential,frac_outward,mean_drift_mag,substrate
"(0.618, 0.638]",355,0.6283369892762137,-0.5155236499314149,-0.0082384924771126,0.13842228154248515,0.0,0.5415242347493662,AB_N30
"(0.638, 0.658]",354,0.6480922677379748,-0.4903463534801704,0.0014206369681176493,0.1304950400435526,0.0,0.5140634284967426,AB_N30
"(0.658, 0.678]",325,0.6679510633477425,-0.4738132092687726,-0.0026753067104369694,0.12286846710144586,0.0,0.49543857876888403,AB_N30
"(0.678, 0.698]",286,0.6879717595454488,-0.4408941552218031,0.002368291363716026,0.12316977295569462,0.0,0.46412470700684455,AB_N30
"(0.698, 0.718]",287,0.7081914238761704,-0.4116108238286373,0.0005828018382811724,0.12192939559827212,0.0,0.43657272423863297,AB_N30
"(0.718, 0.738]",260,0.7278449916097446,-0.36752652615491704,0.0054654811149924395,0.11948089859021781,0.0038461538461538464,0.3953447637949735,AB_N30
"(0.738, 0.758]",251,0.7480810883662441,-0.32891494250066333,-0.0005999905820524934,0.12081488427625611,0.09561752988047809,0.3587847245616315,AB_N30
"(0.758, 0.778]",223,0.7675180544465072,-0.2977478425414101,0.003705465196336037,0.11977210786948292,0.14798206278026907,0.3262117272774298,AB_N30
"(0.778, 0.798]",194,0.7876904323318753,-0.28542135984225964,0.0040003583188459695,0.1122279298087007,0.15979381443298968,0.3125764577092899,AB_N30
"(0.798, 0.818]",186,0.8072859948865001,-0.23300670817969102,0.0023011516005734347,0.09700644166237023,0.22043010752688172,0.2608306112912579,AB_N30
"(0.818, 0.838]",169,0.8274443658263732,-0.2218043715945083,-0.006521541423362986,0.09345238741939246,0.1834319526627219,0.2500998753759898,AB_N30
"(0.838, 0.858]",154,0.8473629271194978,-0.20607103019082557,0.0006323357458413546,0.09021486973646563,0.22727272727272727,0.23513121053164038,AB_N30
"(0.858, 0.878]",128,0.8673104796883866,-0.19814483306471456,0.001411058000438241,0.0873987770218431,0.234375,0.22403100480403187,AB_N30
"(0.878, 0.897]",100,0.8862667136411772,-0.14697927938320826,0.0008299204617674288,0.06649874839023706,0.36,0.16518435812519403,AB_N30
"(0.897, 0.917]",90,0.9076117088437242,-0.14478490367020783,0.0012542948946336113,0.07911356733904544,0.26666666666666666,0.17165757659597894,AB_N30
"(0.917, 0.937]",72,0.9264266548168644,-0.08500058122454297,-0.0005691805918217156,0.05216927777660012,0.3472222222222222,0.1041498066497237,AB_N30
"(0.937, 0.957]",52,0.9467657736635491,-0.0938201867873846,0.0006471459346971454,0.044733839384170276,0.40384615384615385,0.10678194206991007,AB_N30
"(0.957, 0.977]",31,0.9649949524502643,-0.06239776026027283,0.00381212720977414,0.023379010050272656,0.4838709677419355,0.07610969422664757,AB_N30
"(0.977, 0.997]",13,0.9843314075831946,-3.74493569750127e-12,-5.177698487881316e-14,6.2675280275118245e-12,0.6153846153846154,1.2335031372179912e-11,AB_N30
"(-0.000994, 0.0199]",7,0.008132693135004374,-0.6440971128002753,0.13002994873928073,0.3396044551973714,0.0,0.7419218391264975,Penrose_N24
