arm,patch,pair,seed,replicate,budget,S_local_null
regular,0,2,7,2,300,51.00000
regular,0,2,7,2,1000,54.00000
regular,0,0,7,3,100,0.00000
regular,0,0,7,3,300,1.00000
regular,0,0,7,3,1000,5.00000
regular,0,1,7,3,100,0.00000
regular,0,1,7,3,300,1.00000
regular,0,1,7,3,1000,5.00000
regular,0,2,7,3,100,15.00000
regular,0,2,7,3,300,40.00000
regular,0,2,7,3,1000,54.00000
regular,0,0,7,4,100,2.00000
regular,0,0,7,4,300,2.00000
regular,0,0,7,4,1000,5.00000
regular,0,1,7,4,100,2.00000
regular,0,1,7,4,300,2.00000
regular,0,1,7,4,1000,5.00000
regular,0,2,7,4,100,49.00000
regular,0,2,7,4,300,52.00000
regular,0,2,7,4,1000,54.00000
regular,0,0,8,0,100,8.00000
regular,0,0,8,0,300,8.00000
regular,0,0,8,0,1000,15.00000
regular,0,1,8,0,100,8.00000
regular,0,1,8,0,300,8.00000
regular,0,1,8,0,1000,10.00000
regular,0,2,8,0,100,36.00000
regular,0,2,8,0,300,37.00000
regular,0,2,8,0,1000,29.00000
regular,0,0,8,1,100,1.00000
regular,0,0,8,1,300,16.00000
regular,0,0,8,1,1000,16.00000
regular,0,1,8,1,100,1.00000
regular,0,1,8,1,300,12.00000
regular,0,1,8,1,1000,11.00000
regular,0,2,8,1,100,28.00000
regular,0,2,8,1,300,33.00000
regular,0,2,8,1,1000,32.00000
regular,0,0,8,2,100,13.00000
regular,0,0,8,2,300,16.00000
regular,0,0,8,2,1000,16.00000
regular,0,1,8,2,100,11.00000
regular,0,1,8,2,300,13.00000
regular,0,1,8,2,1000,13.00000
regular,0,2,8,2,100,6.00000
regular,0,2,8,2,300,30.00000
regular,0,2,8,2,1000,31.00000
regular,0,0,8,3,100,0.00000
regular,0,0,8,3,300,16.00000
regular,0,0,8,3,1000,16.00000
regular,0,1,8,3,100,-5.00000
regular,0,1,8,3,300,11.00000
regular,0,1,8,3,1000,11.00000
regular,0,2,8,3,100,-11.00000
regular,0,2,8,3,300,27.00000
regular,0,2,8,3,1000,29.00000
regular,0,0,8,4,100,1.00000
regular,0,0,8,4,300,1.00000
regular,0,0,8,4,1000,16.00000
regular,0,1,8,4,100,1.00000
regular,0,1,8,4,300,1.00000
regular,0,1,8,4,1000,11.00000
regular,0,2,8,4,100,8.00000
regular,0,2,8,4,300,8.00000
regular,0,2,8,4,1000,29.00000
regular,0,0,9,0,100,11.00000
regular,0,0,9,0,300,31.00000
regular,0,0,9,0,1000,32.00000
regular,0,1,9,0,100,2.00000
regular,0,1,9,0,300,27.00000
regular,0,1,9,0,1000,30.00000
regular,0,2,9,0,100,-18.00000
regular,0,2,9,0,300,-25.00000
regular,0,2,9,0,1000,-25.00000
regular,0,0,9,1,100,0.00000
regular,0,0,9,1,300,19.00000
regular,0,0,9,1,1000,32.00000
regular,0,1,9,1,100,0.00000
