vertex_id,substrate,depth,mean_nbr_mismatch,max_nbr_mismatch,std_nbr_mismatch,mean_nbr_depth_diff,degree,perp_x,perp_y,depth_bin
2639,AB_N30,0.7401184072947851,0.9999999999831305,1.0000000000190246,2.926402441455459e-11,0.33064043956848466,5,0.0208152802,-0.2218254069,"(0.738, 0.758]"
2640,AB_N30,0.18915248047100397,0.9999999999918348,1.0000000000190246,2.6299634382315988e-11,0.273309018555582,4,-0.686291501,0.4852813742,"(0.18, 0.199]"
2641,AB_N30,0.5528846111753589,0.9999999999918345,1.0000000000190246,2.6299671694705824e-11,0.16534499334415872,4,1.0208152802,-0.2218254069,"(0.539, 0.558]"
2642,AB_N30,0.6200569750496177,0.9999999999793255,1.0,2.5320887087986382e-11,0.21681496651480767,5,0.313708499,0.4852813742,"(0.618, 0.638]"
2643,AB_N30,0.4491911604330775,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.20990357483367775,4,0.0208152802,-0.8076118446,"(0.439, 0.459]"
2644,AB_N30,0.2822215367534605,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3461415942985944,3,-0.686291501,-0.1005050634,"(0.279, 0.299]"
2645,AB_N30,0.33987568864503204,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.30415963145061686,3,1.0208152802,-0.8076118446,"(0.339, 0.359]"
2646,AB_N30,0.9542952455133484,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.6306651362560942,8,0.313708499,-0.1005050634,"(0.937, 0.957]"
2647,AB_N30,0.6772302188918913,1.0000000000114149,1.0000000000190246,9.320119968016152e-12,0.2483510040163835,5,0.0208152802,-0.3933982822,"(0.658, 0.678]"
2648,AB_N30,0.23621541686384329,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.31777141735514264,3,-0.686291501,0.313708499,"(0.219, 0.239]"
2649,AB_N30,0.5136317647158819,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.18512868248138967,4,1.0208152802,-0.3933982822,"(0.499, 0.519]"
2650,AB_N30,0.7349530386542906,1.0000000000108713,1.0000000000190246,9.414715429806852e-12,0.40303265031403496,7,0.313708499,0.313708499,"(0.718, 0.738]"
2651,AB_N30,0.7518214375659196,1.0000000000095122,1.0000000000190246,9.512316860479974e-12,0.3922734441537749,6,0.0208152802,0.0208152802,"(0.738, 0.758]"
2652,AB_N30,0.10102827075812049,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.39186793974382095,3,-0.686291501,0.7279220614,"(0.0998, 0.12]"
2653,AB_N30,0.5595839154292188,1.0000000000095122,1.0000000000190246,9.512335363999084e-12,0.18431431973754514,4,1.0208152802,0.0208152802,"(0.558, 0.578]"
2654,AB_N30,0.4568304387594455,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.2342441338483293,5,0.313708499,0.7279220614,"(0.439, 0.459]"
2655,AB_N30,0.5904949797417413,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.15026369807034437,4,0.0208152802,-0.5649711575,"(0.578, 0.598]"
2656,AB_N30,0.2677894977903149,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3224579457450831,3,-0.686291501,0.1421356237,"(0.259, 0.279]"
2657,AB_N30,0.4522152883536017,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.18051676704744846,3,1.0208152802,-0.5649711575,"(0.439, 0.459]"
2658,AB_N30,0.8482923145378568,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.5324328743510037,8,0.313708499,0.1421356237,"(0.838, 0.858]"
2659,AB_N30,0.7545788467212909,1.0000000000114146,1.0000000000190246,9.320119966958144e-12,0.3564920644477871,5,0.0208152802,-0.1507575951,"(0.738, 0.758]"
2660,AB_N30,0.16570963466519284,1.0000000000095124,1.0000000000190248,9.51233536432303e-12,0.2925672041302914,4,-0.686291501,0.5563491861,"(0.16, 0.18]"
2661,AB_N30,0.5611318293912597,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.15476061181443365,4,1.0208152802,-0.1507575951,"(0.558, 0.578]"
2662,AB_N30,0.5723045289313815,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.20444293390578538,5,0.313708499,0.5563491861,"(0.558, 0.578]"
2663,AB_N30,0.4919837283837174,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.19313343782667242,4,0.0208152802,-0.7365440327,"(0.479, 0.499]"
2664,AB_N30,0.2818289268492875,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.34453002735467636,3,-0.686291501,-0.0294372515,"(0.279, 0.299]"
2665,AB_N30,0.3751366061900254,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.2744579357273017,3,1.0208152802,-0.7365440327,"(0.359, 0.379]"
2666,AB_N30,0.9484957031640331,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.625074348166793,8,0.313708499,-0.0294372515,"(0.937, 0.957]"
2667,AB_N30,0.7071815806180909,1.0000000000114146,1.0000000000190246,9.320119966958144e-12,0.2849115916147919,5,0.0208152802,-0.3223304703,"(0.698, 0.718]"
2668,AB_N30,0.21846126257411314,0.9999999999918348,1.0000000000190246,2.6299634382315988e-11,0.2558077862142851,4,-0.686291501,0.3847763109,"(0.199, 0.219]"
2669,AB_N30,0.5329707124535653,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.17767601064649044,4,1.0208152802,-0.3223304703,"(0.519, 0.539]"
2670,AB_N30,0.6874527229691951,0.9999999999977273,1.0000000000190246,2.3679509954008258e-11,0.32274329739924773,6,0.313708499,0.3847763109,"(0.678, 0.698]"
2671,AB_N30,0.7353737831952919,0.9999999999906681,1.0000000000190246,2.7921231795113485e-11,0.40565689186231096,7,0.0208152802,0.091883092,"(0.718, 0.738]"
2672,AB_N30,0.07131371324427038,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.40256425281243297,3,-0.686291501,0.7989898732,"(0.0599, 0.0798]"
2673,AB_N30,0.5501102764930241,0.9999999999891127,1.0000000000190246,2.9876369165940485e-11,0.1360130966499958,3,1.0208152802,0.091883092,"(0.539, 0.558]"
2674,AB_N30,0.4089490533885708,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.2584020414002991,4,0.313708499,0.7989898732,"(0.399, 0.419]"
2675,AB_N30,0.6283471355692403,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.16812141727362587,4,0.0208152802,-0.4939033456,"(0.618, 0.638]"
2676,AB_N30,0.25673872487727145,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3155905529355251,3,-0.686291501,0.2132034356,"(0.239, 0.259]"
2677,AB_N30,0.4799042584904204,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.17869127124655804,3,1.0208152802,-0.4939033456,"(0.479, 0.499]"
2678,AB_N30,0.8017064666228728,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.4919335791119262,8,0.313708499,0.2132034356,"(0.798, 0.818]"
2679,AB_N30,0.7601350939582496,1.0000000000095122,1.0000000000190246,9.512298356924872e-12,0.39292216222992465,6,0.0208152802,-0.0796897832,"(0.758, 0.778]"
2680,AB_N30,0.14022232065941265,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.3728469804027792,3,-0.686291501,0.627416998,"(0.14, 0.16]"
2681,AB_N30,0.5642146149224041,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.16205059348171624,4,1.0208152802,-0.0796897832,"(0.558, 0.578]"
2682,AB_N30,0.5244995686916708,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.21060425257829274,5,0.313708499,0.627416998,"(0.519, 0.539]"
2683,AB_N30,0.53375841332374,0.9999999999741569,1.0,2.5842966655695494e-11,0.17434540745842894,4,0.0208152802,-0.6654762208,"(0.519, 0.539]"
2684,AB_N30,0.27823550326478175,0.9999999999891128,1.0000000000190246,2.987633211460155e-11,0.3351399532560491,3,-0.686291501,0.0416305603,"(0.259, 0.279]"
2685,AB_N30,0.40859916651799755,0.9999999999827712,1.0,2.4365034960624463e-11,0.23459880082868534,3,1.0208152802,-0.6654762208,"(0.399, 0.419]"
2686,AB_N30,0.9115297166865383,0.9999999999918346,1.0000000000190246,2.6299657347062368e-11,0.5900258375175907,8,0.313708499,0.0416305603,"(0.897, 0.917]"
2687,AB_N30,0.7318294342849789,1.0000000000114146,1.0000000000190246,9.320119966958144e-12,0.31819723732058297,5,0.0208152802,-0.2512626585,"(0.718, 0.738]"
2688,AB_N30,0.19822120435413837,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.26489855806408136,4,-0.686291501,0.4558441227,"(0.18, 0.199]"
2689,AB_N30,0.5480163929823061,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.1692336234579048,4,1.0208152802,-0.2512626585,"(0.539, 0.558]"
2690,AB_N30,0.6398163809534783,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.22271714293589814,5,0.313708499,0.4558441227,"(0.638, 0.658]"
2691,AB_N30,0.4312217274349083,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.21615408154542676,4,0.0208152802,-0.8370490961,"(0.419, 0.439]"
2692,AB_N30,0.28144395135574385,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3431399908129275,3,-0.686291501,-0.1299423149,"(0.279, 0.299]"
2693,AB_N30,0.3248093217179754,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.312004227645497,3,1.0208152802,-0.8370490961,"(0.319, 0.339]"
2694,AB_N30,0.943380239091214,1.0000000000108713,1.0000000000190246,9.414715429806852e-12,0.6147253465431967,7,0.313708499,-0.1299423149,"(0.937, 0.957]"
2695,AB_N30,0.6635956716983276,1.0000000000095124,1.0000000000190246,9.512307609354817e-12,0.18679257760947693,4,0.0208152802,-0.4228355337,"(0.658, 0.678]"
2696,AB_N30,0.24279926235798688,0.999999999989113,1.0000000000190246,2.987633211515164e-11,0.3112733242524018,3,-0.686291501,0.2842712475,"(0.239, 0.259]"
2697,AB_N30,0.5044784557691661,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.17757947612323433,3,1.0208152802,-0.4228355337,"(0.499, 0.519]"
2698,AB_N30,0.7545698482913517,0.9999999999918348,1.0000000000190246,2.629965734735529e-11,0.4526457008098856,8,0.313708499,0.2842712475,"(0.738, 0.758]"
2699,AB_N30,0.7561776584152189,0.9999999999977272,1.0000000000190246,2.367950817790834e-11,0.3940584703176413,6,0.0208152802,-0.0086219714,"(0.738, 0.758]"
2700,AB_N30,0.1128667335392961,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.38678603573863596,3,-0.686291501,0.6984848098,"(0.0998, 0.12]"
2701,AB_N30,0.562023901391073,0.9999999999918345,1.0000000000190246,2.6299671694705824e-11,0.17123085894529144,4,1.0208152802,-0.0086219714,"(0.558, 0.578]"
2702,AB_N30,0.47665648495146173,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.22243491838886822,5,0.313708499,0.6984848098,"(0.459, 0.479]"
