depth_bin,n,mean_depth,mean_mismatch,median_mismatch,std_mismatch,mean_max_mismatch,mean_depth_diff,mean_degree,substrate
"(0.358, 0.378]",585,0.36787514764294754,1.000000000001006,1.0000000000123477,2.007056918532794e-11,1.0000000000192424,0.3093850669406471,3.483760683760684,Penrose_N24
"(0.378, 0.398]",567,0.3878753719659707,1.0000000000023195,1.0000000000123477,1.9477675427076784e-11,1.0000000000204181,0.29676883153506983,3.566137566137566,Penrose_N24
"(0.398, 0.418]",566,0.40769805630478595,1.0000000000004343,1.0000000000123477,2.1074639340293513e-11,1.0000000000193427,0.28653464836374204,3.570671378091873,Penrose_N24
"(0.418, 0.438]",575,0.42762156243661964,1.0000000000002052,1.0000000000123477,2.2512132827309076e-11,1.0000000000189817,0.27015588699058296,3.6121739130434785,Penrose_N24
"(0.438, 0.457]",589,0.4476317493815318,0.9999999999990942,1.0000000000123477,2.2035302464758902e-11,1.00000000001858,0.25511105843716,3.66044142614601,Penrose_N24
"(0.457, 0.477]",632,0.4675155474993683,1.0000000000009548,1.0000000000123477,2.1392864549334437e-11,1.0000000000196625,0.2381504112167014,3.6487341772151898,Penrose_N24
"(0.477, 0.497]",684,0.4874263813526115,1.0000000000010585,1.0000000000123477,1.9763072321014738e-11,1.0000000000197613,0.22361778701214902,3.6535087719298245,Penrose_N24
"(0.497, 0.517]",720,0.507473422288064,1.0000000000009845,1.0000000000102778,1.950417485295205e-11,1.000000000020155,0.2107510972475749,3.673611111111111,Penrose_N24
"(0.517, 0.537]",726,0.5273035807018207,0.999999999999101,1.0000000000086369,2.1694734218139296e-11,1.0000000000191693,0.19838232309872256,3.7079889807162534,Penrose_N24
"(0.537, 0.557]",751,0.5469965918664249,1.000000000000393,1.0000000000086369,2.0049366573228804e-11,1.0000000000198241,0.1894439436216293,3.696404793608522,Penrose_N24
"(0.557, 0.577]",765,0.5667748915483639,0.9999999999998129,1.0000000000086369,2.076222030816739e-11,1.0000000000193134,0.180564475524342,3.7555555555555555,Penrose_N24
"(0.577, 0.597]",728,0.5867074955540247,1.0000000000008176,1.0000000000086369,1.8742204644541845e-11,1.0000000000205,0.17572370504607332,3.870879120879121,Penrose_N24
"(0.597, 0.617]",710,0.6064608350930086,0.9999999999996726,1.000000000008234,1.9450248908415296e-11,1.0000000000200526,0.17260182458668002,3.926760563380282,Penrose_N24
"(0.617, 0.636]",660,0.6264693384959931,0.9999999999998482,1.000000000008637,2.0310852287186226e-11,1.0000000000200737,0.17339984104991124,4.056060606060606,Penrose_N24
"(0.636, 0.656]",635,0.6462981171720967,1.0000000000005327,1.000000000008234,1.8363449434759327e-11,1.0000000000209213,0.18167131128621306,4.27244094488189,Penrose_N24
"(0.656, 0.676]",601,0.6662423226442897,0.9999999999993042,1.0000000000077085,1.890464470880925e-11,1.0000000000209204,0.19549147421183183,4.504159733777039,Penrose_N24
"(0.676, 0.696]",570,0.686215661249342,0.9999999999987402,1.0000000000041056,1.8577607530137896e-11,1.0000000000206308,0.20807281675815978,4.564912280701755,Penrose_N24
"(0.696, 0.716]",534,0.7057684977812557,1.0000000000002054,1.0000000000077083,1.8023755151750774e-11,1.0000000000207834,0.23110853679768747,4.7565543071161045,Penrose_N24
"(0.716, 0.736]",499,0.7257839639525189,1.0000000000005245,1.000000000008234,1.765770578191951e-11,1.0000000000213256,0.2654351323343377,4.937875751503006,Penrose_N24
"(0.736, 0.756]",453,0.7456389626161775,0.9999999999988889,1.0000000000046096,1.8436133401160305e-11,1.000000000021067,0.2941829856045013,5.039735099337748,Penrose_N24
"(0.756, 0.776]",423,0.7655362762112892,0.9999999999983639,1.0000000000024567,1.717043516116426e-11,1.000000000021512,0.32817823556432446,5.276595744680851,Penrose_N24
"(0.776, 0.796]",400,0.7853014257459396,1.0000000000003153,1.0000000000040283,1.7235939882508124e-11,1.0000000000220077,0.3513662334427989,5.25,Penrose_N24
