substrate,seed,linger_n,n_walkers,mean_start_depth,mean_disturb_depth,mean_descend_depth,mean_linger_end_depth,mean_ascend_depth,mean_residue_after_disturb,mean_residue_after_descend,mean_residue_linger_start,mean_residue_linger_end,mean_residue_after_ascend,median_residue_after_ascend,std_residue_after_ascend,mean_phys_dist_final,frac_near_return_2,frac_near_return_3
AB_N30,6,40,5000,0.4876489914230493,0.4829115049531034,0.6086083615807746,0.6103945512471625,0.26567061276470777,1.0235548246366988,0.9190105406884271,0.9190105406884271,0.915375373260168,1.2555817121805073,1.2550187559937793,0.5345542222218242,12.616627307136255,0.0234,0.038
AB_N30,6,80,5000,0.4876489914230493,0.48164148464678974,0.6055492475780393,0.6050830844931181,0.2679244479898598,1.0251152202327658,0.9141798079010776,0.9141798079010776,0.9315724605432222,1.2530579351282387,1.2544294036877324,0.5385059620840638,12.670969689349999,0.0282,0.0438
AB_N30,6,160,5000,0.4876489914230493,0.4783856397082269,0.6090590289442124,0.6107584117616472,0.2625164267760684,1.0336101712926655,0.9166228433683107,0.9166228433683107,0.9129444814467074,1.2579882834102938,1.2544294036877324,0.5366584235818442,13.350706277347449,0.022,0.0332
AB_N30,7,0,5000,0.4848165471039016,0.47728130868976115,0.6081045475578862,0.6081045475578862,0.26070069869760254,1.0277190628797777,0.9217237729095717,0.9217237729095717,0.9217237729095717,1.2576358354391324,1.278254886225917,0.5429691423010177,12.19419531164323,0.0282,0.0412
AB_N30,7,5,5000,0.4848165471039016,0.4841404286950312,0.6093827352314442,0.6037098362898673,0.2629139743817864,1.033919986836171,0.9174284683056332,0.9174284683056332,0.9241218349194662,1.2539274953714492,1.266108360434163,0.5393711142447164,12.262035847823372,0.0212,0.049
AB_N30,7,10,5000,0.4848165471039016,0.4829808252905843,0.6079761345868279,0.6076848549221496,0.26825646395183284,1.0270867042798935,0.9207263556878965,0.9207263556878965,0.9227959625588493,1.2439710445373384,1.2446712462001792,0.5318442479064883,12.472464818913958,0.0264,0.038
AB_N30,7,20,5000,0.4848165471039016,0.4804326204145454,0.6097561285147958,0.6086188510720967,0.26963612668881853,1.025309232512186,0.917422563255122,0.917422563255122,0.9208573971233797,1.2395471379022964,1.244671246203034,0.539599540385402,12.288807119784556,0.027,0.042
AB_N30,7,40,5000,0.4848165471039016,0.47935506446207793,0.6073609435833014,0.6075044874522542,0.26773636363625963,1.0363435824296396,0.9308894608667915,0.9308894608667915,0.9326848292825743,1.239370903333558,1.2446712462303644,0.5411014847268789,12.524282608289022,0.0272,0.0406
AB_N30,7,80,5000,0.4848165471039016,0.48253304716809553,0.6093981089496928,0.6126541992797141,0.2674033042918419,1.0246057585366084,0.9089727471625815,0.9089727471625815,0.9155143544535927,1.2583768582946482,1.2938694648848021,0.5402027903892525,12.62669460129611,0.0312,0.0438
AB_N30,7,160,5000,0.4848165471039016,0.4763269994964856,0.6117568903953242,0.608082270824399,0.2695327829091867,1.0359441002489873,0.9229541407709272,0.9229541407709272,0.9293509262455071,1.253241610749779,1.2748823306521795,0.5434432478906224,13.419892941449618,0.0278,0.0372
