substrate,seed,threshold,n_near_loops,n_dippers,mean_residue_all_dippers,mean_residue_brachy,mean_residue_anti_brachy,mean_residue_symmetric,n_brachy,n_anti_brachy,n_symmetric,mean_residue_v_dip,mean_residue_u_dip,mean_residue_early_dip,mean_residue_mid_dip,mean_residue_late_dip,n_early,n_mid,n_late,spearman_asymmetry_vs_residue,spearman_asymmetry_p,spearman_sharpness_vs_residue,spearman_timing_vs_residue,spearman_recovery_vs_residue,spearman_descent_smooth_vs_residue,spearman_ascent_smooth_vs_residue,spearman_excursion_vs_residue,mean_asymmetry,mean_sharpness,mean_timing,mean_excursion,mean_recovery
AB_N30,5,2.0,196,174,1.023372307317546,1.0127031344201427,1.029662052899325,1.05559505373793,89,69,16,1.2288084710165972,0.8134239123636386,1.0104296193642879,1.12050340393236,0.9168905957244461,74,57,43,0.002397872070988387,0.9749488129870839,0.3306108913713399,-0.002397872070988387,-0.005388975128161605,-0.1278698391978107,-0.23718208575643837,-0.3140477091275982,0.12111619971264367,0.9553574432296045,0.4394419001436782,0.430321257220713,1.114495665456895
AB_N30,5,3.0,282,248,1.0996276322155887,1.1148101820365468,1.0759808504220272,1.1097964783916432,131,94,23,1.3149762628740442,0.8885161710852112,1.1007572310348004,1.1656201168171028,1.0196098046901574,106,77,65,0.014268233229191997,0.8230899124765484,0.3536431513497947,-0.014268233229191997,-0.011454189889604071,-0.13402157360243186,-0.2450679294109678,-0.3428093005532165,0.12310987903225806,0.9570259638080253,0.43844506048387094,0.4271702974493273,1.1287688224215056
AB_N30,6,2.0,188,158,1.0340163302474548,1.0880482999517833,1.0124066210476865,0.8911204996399208,74,66,18,1.18596077384165,0.9134569967349686,1.0727876890130492,1.0093837276137443,1.0187464736250198,54,54,50,0.03419280665867262,0.6697370353757518,0.2285609320007677,-0.03419280665867262,-0.044677649476067165,-0.1625201707928799,-0.228208863678513,-0.3198249232608261,0.03746785996835443,0.9569558505711638,0.4812660700158228,0.4311945549096039,1.17083276366963
AB_N30,6,3.0,318,273,1.1154272424542497,1.160352975801025,1.088272334868744,1.0434279317875739,124,115,34,1.3218493237133537,0.9876806884261775,1.1657714224429534,1.085420586277394,1.0949389220994197,92,97,84,0.04948444700925174,0.4154360484675955,0.2789355379019878,-0.04948444700925174,-0.055060871917939035,-0.1294931234289434,-0.23879169026185737,-0.32342725546629436,0.046309809981684984,0.9582560528901993,0.4768450950091575,0.42641407117745794,1.181779384248227
AB_N30,7,2.0,210,195,1.0632130517183263,1.1454796273825067,0.9690104408602355,0.9457061753804489,107,66,22,1.2961822794140914,0.7865610703285225,1.1004298319013375,1.0755755951547115,0.9961337490240249,82,57,56,0.07178426111185345,0.3186407092368056,0.3056002905128356,-0.07178426111185345,-0.13059123709986897,-0.10721309971002378,-0.3390938065315674,-0.3839255325760775,0.15423677884615383,0.9520450281425892,0.4228816105769231,0.46334513064935184,0.9984601247058642
AB_N30,7,3.0,305,274,1.1130597884563342,1.1810484789858242,1.0247030536257973,1.0491524581278326,150,93,31,1.3094020135868754,0.8765966316222353,1.1408738184467577,1.1337680595180764,1.0452364771618996,111,90,73,0.0713625607095235,0.23905108619803658,0.28527107364119636,-0.0713625607095235,-0.1140451866083967,-0.11066803548454443,-0.34186113066162477,-0.3663564701376109,0.153070825729927,0.9519423179633257,0.4234645871350365,0.45996108161064375,1.0350754684389383
AB_N30,8,2.0,210,184,0.9629163783011805,0.971005900154105,0.9624177606040808,0.8999267589677437,98,74,12,1.0929531440870266,0.7143587147520019,0.9645503767770066,0.9873322365487874,0.934086494286811,78,55,51,-0.017297095261058354,0.8157243670025812,0.216833004505031,0.017297095261058354,-0.1384412451350948,-0.10399799757549041,-0.1762212903483685,-0.24730472357494068,0.10529891304347826,0.9502492046659597,0.44735054347826086,0.4609172827019221,1.0664918361166704
AB_N30,8,3.0,333,289,1.063978368910634,1.0862887647573702,1.031941312565633,1.0735203355056857,152,113,24,1.2025680396175853,0.8446804020043397,1.0752198232438948,1.0927561318737067,1.0088045580797804,120,95,74,0.01690505887287718,0.7747548492672711,0.235943494776727,-0.01690505887287718,-0.14748114211387636,-0.09013831311107993,-0.24257181450101836,-0.2664434356359053,0.1079828070934256,0.9526238501139335,0.4460085964532872,0.44254390171044033,1.0759867361377387
AB_N30,9,2.0,192,164,0.9824744559635301,0.9719908201471171,1.0941598092503724,0.673852759363946,88,58,18,1.06627318381983,0.9362448520624863,0.933734099526873,0.9800347291680626,1.0631970735859644,65,58,41,-0.10233313639373037,0.1922657590864174,0.12969970342986648,0.10233313639373037,-0.22054797628929196,-0.1017301196501707,-0.18091243224648043,-0.11713727371775423,0.11394817073170732,0.9554193932183223,0.44302591463414637,0.4424281635741331,1.0893411989586597
AB_N30,9,3.0,297,249,1.0707387291408876,1.0578593170419757,1.1527095507050635,0.8969767038900044,137,83,29,1.1897256599140607,0.9855077276487405,1.019425032078493,1.0839584007498406,1.1398790464584994,103,86,60,-0.06582820800832632,0.30083353174719013,0.17651109120720257,0.06582820800832632,-0.18693960032114385,-0.11956605382968487,-0.2160041456504419,-0.18902763649390208,0.14087600401606426,0.954138505240474,0.42956199799196787,0.4419710727757514,1.084345097956389
