descent_steps,ascent_steps,asymmetry,dip_timing,dip_sharpness,excursion,min_depth,recovery,descent_smoothness,ascent_smoothness,start_depth,final_depth,perp_residue,phys_dist,walker_id,substrate,seed,threshold
662,362,-0.29296875,0.646484375,0.8429268292682927,0.9139001590392408,0.05060834354093957,0.4977455825430269,-266.4253467085749,-295.2798803245794,0.9645085025801804,0.5054981105885892,0.76536686473746,1.8477590650401519,15712,AB_N30,0,2.0
765,259,-0.494140625,0.7470703125,0.953170731707317,0.3969164589455284,0.04366209925334952,0.9999999999974807,-686.2714357361839,-229.03486352220818,0.4405785581988779,0.4405785581988779,0.0,0.0,15766,AB_N30,0,2.0
677,347,-0.322265625,0.6611328125,0.9512195121951219,0.45412640819721317,0.03268351903144151,0.7176825878170863,-525.8713708929116,-379.75204430376056,0.4868099272286547,0.3586021348632136,0.76536686473746,1.8477590650401494,15925,AB_N30,0,2.0
344,680,0.328125,0.3359375,0.9512195121951219,0.46785313431627495,0.030445704799328732,1.1450513917458258,-255.4495549792514,-443.65929911967993,0.4982988391156037,0.5661615873819712,0.76536686473746,1.8477590650401519,16461,AB_N30,0,2.0
941,83,-0.837890625,0.9189453125,0.9570731707317073,0.28448769335063373,0.05279866746594397,2.0,-1208.5514192431087,-35.601144606927775,0.3372863608165777,0.8505268127001172,0.76536686473746,1.847759065040147,16507,AB_N30,0,2.0
989,35,-0.931640625,0.9658203125,0.9931707317073171,0.22440739503530804,0.02401623862487423,0.9999999999955438,-1565.6734951370588,-47.02005190037405,0.24842363366018227,0.24842363366018227,0.0,0.0,16708,AB_N30,0,2.0
738,286,-0.44140625,0.720703125,0.9912195121951219,0.23774671785059442,0.01847019215471324,2.0,-1060.933150329714,-148.44626672654508,0.25621691000530766,0.6743343954130578,1.4142135624,1.4142135624000005,16894,AB_N30,0,2.0
169,855,0.669921875,0.1650390625,0.9863414634146341,0.23361258345735325,6.756817327868703e-13,2.0,-244.17491233431312,-570.9594055850539,0.23361258345802893,0.509554444368693,1.84775906504015,0.7653668647374621,17207,AB_N30,0,2.0
232,792,0.546875,0.2265625,0.9960975609756098,0.23853058263737625,0.010826256818755597,2.0,-334.76678341058386,-514.1669571847232,0.24935683945613185,0.5627735317713217,1.414213562373095,1.4142135623730951,17249,AB_N30,0,2.0
902,122,-0.76171875,0.880859375,0.9726829268292683,0.4112702077835292,0.026076132131182872,1.7777199761261406,-794.2376194252046,-63.856751311552614,0.43734633991471206,0.757199396095289,0.76536686473746,1.847759065040155,17261,AB_N30,0,2.0
483,541,0.056640625,0.4716796875,0.9912195121951219,0.21090786493112978,0.055216299535985724,0.9999999999952586,-805.5668762520982,-907.0175866518974,0.2661241644671155,0.2661241644671155,0.0,0.0,17278,AB_N30,0,2.0
311,713,0.392578125,0.3037109375,0.9668292682926829,0.4672016984987446,0.010522931577144679,0.4840522563578467,-230.08827519958916,-1053.19667134942,0.4777246300758893,0.23667296791016446,1.84775906504015,0.7653668647374601,17412,AB_N30,0,2.0
863,161,-0.685546875,0.8427734375,0.9717073170731707,0.3046822568730423,0.05224440377692352,2.0,-1029.1020678757866,-86.5375292025151,0.3569266606499658,0.6844461725449349,0.7653668646833405,1.8477590649094948,17422,AB_N30,0,2.0
444,580,0.1328125,0.43359375,0.9326829268292682,0.6280798079567288,0.042983235987749,0.2819537206364284,-257.6537903776065,-1138.1360026982613,0.6710630439444778,0.22007267469804404,1.4142135623999998,1.4142135624000005,17470,AB_N30,0,2.0
191,833,0.626953125,0.1865234375,0.975609756097561,0.33236884673564815,0.0341858210832191,1.6273525580449981,-215.78425875970785,-528.2554159977801,0.36655466781886725,0.5750671140345693,0.76536686473746,1.847759065040149,17591,AB_N30,0,2.0
836,188,-0.6328125,0.81640625,0.9570731707317073,0.43198076626794835,0.018037913707911968,0.14656263561860794,-701.4307529091544,-988.7727121448756,0.4500186799758603,0.08135015334883489,1.84775906504015,0.7653668647374569,17807,AB_N30,0,2.0
873,151,-0.705078125,0.8525390625,0.96,0.39345709841247356,0.026076132131182872,0.6403454370384782,-791.8839418561223,-212.1639728075702,0.41953323054365643,0.27802458977065014,0.76536686473746,1.8477590650401472,18159,AB_N30,0,2.0
691,333,-0.349609375,0.6748046875,0.895609756097561,0.7641415649346964,0.03398175201137421,0.9999999999986914,-312.23600996249996,-151.279104681814,0.7981233169460706,0.7981233169460706,0.0,0.0,18162,AB_N30,0,2.0
737,287,-0.439453125,0.7197265625,0.9882926829268293,0.2516461878673424,0.02401623862487423,0.5204651482225208,-1078.748811141021,-737.6050402022119,0.2756624264922166,0.15498930909340336,2.0,2.0,18304,AB_N30,0,2.0
716,308,-0.3984375,0.69921875,0.8790243902439024,0.8763309649581894,4.082439961361484e-05,0.4546122031987468,-298.3554478833741,-264.68194818549784,0.876371789357803,0.3984315751109945,0.76536686473746,1.8477590650401534,18336,AB_N30,0,2.0
116,908,0.7734375,0.11328125,0.9258536585365854,0.6878245379605405,0.03541058683640219,1.0250976754084649,-61.55302568985328,-450.71696267914746,0.7232351247969427,0.7404979217896788,0.76536686473746,1.8477590650401472,18414,AB_N30,0,2.0
546,478,-0.06640625,0.533203125,0.9873170731707317,0.38911503015287174,0.027633471111705554,0.9999999999974302,-508.85093672472465,-450.40853340434455,0.4167485012645773,0.4167485012645773,0.0,0.0,18461,AB_N30,0,2.0
982,42,-0.91796875,0.958984375,0.9804878048780488,0.2928627969927726,0.027633471111705554,0.0,-1182.9704311604,-321012473234.3593,0.3204962681044782,0.027633471111705554,0.76536686473746,1.8477590650401519,18624,AB_N30,0,2.0
720,304,-0.40625,0.703125,0.9717073170731707,0.36348429370701296,0.035885176062414925,1.5051109507646085,-709.1631685215754,-184.64051664574262,0.3993694697694279,0.5829693669532845,1.4142135624,1.4142135623999987,18802,AB_N30,0,2.0
104,920,0.796875,0.1015625,0.9473170731707317,0.43155698176983814,0.03583730405361474,0.5712547677908612,-81.90022888854749,-1337.987729483097,0.4673942858234529,0.2823662874636398,1.8477590650018818,0.7653668646450735,18813,AB_N30,0,2.0
396,628,0.2265625,0.38671875,0.9707317073170731,0.35225025187044634,0.054767216030733645,0.06131285636490754,-384.41922659565364,-10110.840372503584,0.40701746790118,0.07636468512823014,2.0,2.0,18825,AB_N30,0,2.0
669,355,-0.306640625,0.6533203125,0.9287804878048781,0.6204243308951758,0.030445704799328732,0.34204096557842006,-380.42309013865,-580.6250252929816,0.6508700356945045,0.24265624200740188,0.76536686473746,1.847759065040147,19012,AB_N30,0,2.0
515,509,-0.005859375,0.5029296875,0.9336585365853658,0.4426392875294738,0.05071119607287866,0.19801036805969818,-415.7620256396251,-2083.0856361562837,0.49335048360235245,0.13835836431447035,2.0,2.0,19077,AB_N30,0,2.0
