model,seed,history,checkpoint,M,M_norm,struct_access,eff_alt,edge_count,total_weight,n_active,frac_inactive,headroom,frac_saturated
Fixed,158,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,159,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,160,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,161,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,162,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,163,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,164,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,165,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,166,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,167,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,168,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,169,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,170,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,171,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,172,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,173,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,174,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,175,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,176,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,177,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,178,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,179,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,180,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,181,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,182,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,183,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,184,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,185,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,186,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,187,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,188,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,189,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,190,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,191,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,192,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,193,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,194,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,195,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,196,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,197,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,198,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,199,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,0,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,1,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,2,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,3,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,4,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,5,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,6,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,7,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,8,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,9,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,10,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,11,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,12,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,13,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,14,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,15,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,16,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,17,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,18,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,19,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,20,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,21,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,22,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,23,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,24,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,25,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,26,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,27,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,28,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,29,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,30,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,31,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,32,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,33,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,34,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,35,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,36,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,37,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,38,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,39,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,40,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,41,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,42,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,43,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,44,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,45,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,46,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,47,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,48,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,49,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,50,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,51,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,52,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,53,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,54,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,55,A,100,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
