substrate,subset,perturbation,replicate,feature_set,auc
Penrose_N24,boundary_25pct,shuffle,2,address,0.5199947596380975
Penrose_N24,boundary_25pct,shuffle,2,weave,0.9497057589724657
Penrose_N24,boundary_25pct,shuffle,2,hybrid,0.9493458149225921
Penrose_N24,boundary_25pct,shuffle,3,address,0.518522782561593
Penrose_N24,boundary_25pct,shuffle,3,weave,0.9505158536386329
Penrose_N24,boundary_25pct,shuffle,3,hybrid,0.9502320007022438
Penrose_N24,boundary_25pct,shuffle,4,address,0.5044205628625079
Penrose_N24,boundary_25pct,shuffle,4,weave,0.9500842295543178
Penrose_N24,boundary_25pct,shuffle,4,hybrid,0.9503555109154357
Penrose_N24,boundary_25pct,shuffle,5,address,0.48383846804989283
Penrose_N24,boundary_25pct,shuffle,5,weave,0.9498312541712267
Penrose_N24,boundary_25pct,shuffle,5,hybrid,0.9502972846720737
Penrose_N24,boundary_25pct,shuffle,6,address,0.48551026700702554
Penrose_N24,boundary_25pct,shuffle,6,weave,0.9492324501911983
Penrose_N24,boundary_25pct,shuffle,6,hybrid,0.9508266141571817
Penrose_N24,boundary_25pct,shuffle,7,address,0.510592544658867
Penrose_N24,boundary_25pct,shuffle,7,weave,0.949706420634322
Penrose_N24,boundary_25pct,shuffle,7,hybrid,0.9501614234375627
Penrose_N24,boundary_25pct,shuffle,8,address,0.49902934205668326
Penrose_N24,boundary_25pct,shuffle,8,weave,0.9505218085953403
Penrose_N24,boundary_25pct,shuffle,8,hybrid,0.949362577022954
Penrose_N24,boundary_25pct,shuffle,9,address,0.5002454765487188
Penrose_N24,boundary_25pct,shuffle,9,weave,0.9507405981158517
Penrose_N24,boundary_25pct,shuffle,9,hybrid,0.9497878050426574
Penrose_N24,full_patch,native,0,address,0.6182757808613578
Penrose_N24,full_patch,native,0,weave,0.9435103289528086
Penrose_N24,full_patch,native,0,hybrid,0.9511764581066106
Penrose_N24,full_patch,rewire,0,address,0.6185578681483591
Penrose_N24,full_patch,rewire,0,weave,0.5918361555305569
Penrose_N24,full_patch,rewire,0,hybrid,0.6166797894085895
Penrose_N24,full_patch,rewire,1,address,0.6199098874977744
Penrose_N24,full_patch,rewire,1,weave,0.5854330011476468
Penrose_N24,full_patch,rewire,1,hybrid,0.6207678938999028
Penrose_N24,full_patch,rewire,2,address,0.616074268810629
Penrose_N24,full_patch,rewire,2,weave,0.5907509424666803
Penrose_N24,full_patch,rewire,2,hybrid,0.6176190470784952
Penrose_N24,full_patch,rewire,3,address,0.6193979739487742
Penrose_N24,full_patch,rewire,3,weave,0.5981871580384748
Penrose_N24,full_patch,rewire,3,hybrid,0.6259356229745578
Penrose_N24,full_patch,rewire,4,address,0.6175298933499613
Penrose_N24,full_patch,rewire,4,weave,0.5904947892221613
Penrose_N24,full_patch,rewire,4,hybrid,0.6234087565726861
Penrose_N24,full_patch,rewire,5,address,0.6192647236160193
Penrose_N24,full_patch,rewire,5,weave,0.5854282203771893
Penrose_N24,full_patch,rewire,5,hybrid,0.6234740282789341
Penrose_N24,full_patch,rewire,6,address,0.6188687710381188
Penrose_N24,full_patch,rewire,6,weave,0.6036142057079519
Penrose_N24,full_patch,rewire,6,hybrid,0.6259511659360456
Penrose_N24,full_patch,rewire,7,address,0.6161857328012984
Penrose_N24,full_patch,rewire,7,weave,0.584527339850957
Penrose_N24,full_patch,rewire,7,hybrid,0.6198932530361821
Penrose_N24,full_patch,rewire,8,address,0.6107853395643728
Penrose_N24,full_patch,rewire,8,weave,0.5839997087004521
Penrose_N24,full_patch,rewire,8,hybrid,0.6243450017023036
Penrose_N24,full_patch,rewire,9,address,0.6172094289192865
