vertex_id,degree,vertex_type,depth,balance_mag,balance_angle,gap_angle_rad,gap_angle_deg,gap_direction,cos_gap_alignment,n_oversized_gaps,perp_x,perp_y
12846,3,F,0.24619958520286955,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.7989898732
12847,3,F,0.25978740471585404,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.4939033456
12848,6,C,0.7172513005684474,0.307959844170429,-0.3926990816987242,2.356194490192345,135.0,2.748893571891069,-1.0,1,0.0710678119,0.2132034356
12849,4,E,0.4918718968239947,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.2132034356
12850,4,E,0.48354364964166074,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.627416998
12851,3,F,0.33293590710302323,0.804737854124365,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.627416998
12852,3,F,0.2080593130012206,0.8047378541243649,0.7853981633681589,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.6654762208
12853,4,E,0.6000916761101116,0.6532814824150912,1.9634954085082654,3.926990816916531,224.99999999594857,-1.178097245131528,-1.0,1,0.3639610307,-0.6654762208
12854,4,E,0.3059508036935591,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.6360389693,-0.2512626585
12855,5,D,0.5872546292440113,0.482842712474619,-0.7853981633974483,3.141592653589793,180.0,2.356194490192345,-1.0,1,0.0710678119,0.4558441227
12856,4,E,0.40957127162754925,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.4558441227
12857,4,E,0.3300102218062295,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.8700576851
12858,3,F,0.20808229904165643,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.8700576851
12859,3,F,0.2768425436477878,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.4228355337
12860,6,C,0.6824114910473322,0.307959844181317,-0.3926990817133688,2.356194490192345,135.0,2.748893571891069,-1.0,1,0.0710678119,0.2842712475
12861,4,E,0.4716915643056706,0.6532814824545203,-2.7488935718807137,3.926990817057952,225.0000000040514,0.3926990817340794,-1.0,1,1.0710678119,0.2842712475
12862,4,E,0.43918368747475955,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.6984848098
12863,3,F,0.29802971672483247,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.6984848098
12864,3,F,0.23118190244456227,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.594408409
12865,4,E,0.6480939288374187,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.3639610307,-0.594408409
12866,3,F,0.3564801859783244,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.6984848098
12867,4,E,0.5371335180848891,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.6984848098
12868,4,E,0.4938668277949362,0.6532814824545203,0.39269908170907947,3.926990817057952,225.0000000040514,-2.7488935718557137,-1.0,1,-0.3431457505,-0.2842712475
12869,5,D,0.7627271253422748,0.4828427124887612,2.356194490192345,3.1415926536605037,180.00000000405143,-0.7853981634328036,-1.0,1,0.6568542495,-0.2842712475
12870,5,D,0.49517712183286966,0.4828427124746191,0.0,3.141592653589793,180.0,3.141592653589793,-1.0,1,-0.3431457505,0.1299423149
12871,5,D,0.7655351468494154,0.4828427124746191,3.141592653589793,3.141592653589793,180.0,0.0,-1.0,1,0.6568542495,0.1299423149
12872,3,F,0.2751447463070167,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.8700576851
12873,4,E,0.4294364471434414,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.8700576851
12874,3,F,0.44991537981904417,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.4558441227
12875,4,E,0.6794992692650977,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.4558441227
12876,4,E,0.5137970040027648,0.6532814824449532,0.3926990816737241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.0416305603
12877,6,C,0.8088953628017694,0.30795984416405087,2.7488935719410694,2.3561944901216343,134.99999999594857,-0.3926990817340794,-1.0,1,0.6568542495,-0.0416305603
12878,3,F,0.16630845344044187,0.8047378541243649,-2.3561944902216343,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.3639610307,0.6654762208
12879,3,F,0.3869033262342053,0.804737854124365,0.7853981633974482,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.627416998
12880,4,E,0.5804583924988357,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.627416998
12881,4,E,0.5052144818768372,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.2132034356
12882,5,D,0.7880086370004983,0.482842712474619,2.356194490192345,3.141592653589793,180.0,-0.7853981633974483,-1.0,1,0.6568542495,-0.2132034356
12883,4,E,0.23012192485458716,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.3639610307,0.4939033456
12884,3,F,0.3100332515330274,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.7989898732
12885,4,E,0.47447003602832827,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.7989898732
12886,4,E,0.4707512822663723,0.6532814824545203,0.39269908170907947,3.926990817057952,225.0000000040514,-2.7488935718557137,-1.0,1,-0.3431457505,-0.3847763109
12887,5,D,0.7167477550580246,0.4828427124887612,2.356194490192345,3.1415926536605037,180.00000000405143,-0.7853981634328036,-1.0,1,0.6568542495,-0.3847763109
12888,4,E,0.5093100675652368,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,0.0294372515
12889,6,C,0.7977520362653501,0.307959844170429,2.748893571891069,2.356194490192345,135.0,-0.3926990816987242,-1.0,1,0.6568542495,0.0294372515
12890,3,F,0.13669329620813775,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.3639610307,0.7365440327
12891,3,F,0.4149633839600534,0.804737854124365,0.7853981633974482,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.5563491861
12892,4,E,0.622646755480423,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.5563491861
12893,4,E,0.5120807850472666,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.1421356237
12894,5,D,0.8045702444302008,0.482842712474619,2.356194490192345,3.141592653589793,180.0,-0.7853981633974483,-1.0,1,0.6568542495,-0.1421356237
12895,4,E,0.2051174203108206,0.6532814824545203,-2.7488935718807137,3.926990817057952,225.0000000040514,0.3926990817340794,-1.0,1,1.3639610307,0.5649711575
12896,3,F,0.34326289912079844,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.7279220614
12897,4,E,0.5189269819318503,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.7279220614
12898,4,E,0.4879200731443355,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.313708499
12899,5,D,0.7502932108842805,0.4828427124746191,2.356194490192345,3.141592653589793,180.0,-0.7853981633974483,-1.0,1,0.6568542495,-0.313708499
12900,5,D,0.5002296560323527,0.4828427124746191,0.0,3.141592653589793,180.0,3.141592653589793,-1.0,1,-0.3431457505,0.1005050634
12901,5,D,0.7766213399818143,0.4828427124746191,3.141592653589793,3.141592653589793,180.0,0.0,-1.0,1,0.6568542495,0.1005050634
12902,3,F,0.26026252101834046,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.8994949366
12903,4,E,0.41064512655606145,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.8994949366
12904,3,F,0.44030483004594223,0.8047378541243649,0.7853981633681589,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.4852813742
12905,4,E,0.6632711590732367,0.6532814824150912,1.9634954085082654,3.926990816916531,224.99999999594857,-1.178097245131528,-1.0,1,0.6568542495,-0.4852813742
12906,4,E,0.5142756521099864,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.0710678119
12907,6,C,0.8101164273162136,0.307959844170429,2.748893571891069,2.356194490192345,135.0,-0.3926990816987242,-1.0,1,0.6568542495,-0.0710678119
