arm,patch,pair,seed,replicate,budget,start,S_local_null
regular,0,0,13,3,100,orig,-7.00000
regular,0,0,13,3,300,orig,-10.00000
regular,0,0,13,3,1000,orig,-11.00000
regular,0,0,13,3,100,distant,0.00000
regular,0,0,13,3,300,distant,0.00000
regular,0,0,13,3,1000,distant,-11.00000
regular,0,0,13,4,100,orig,-4.00000
regular,0,0,13,4,300,orig,-5.00000
regular,0,0,13,4,1000,orig,-11.00000
regular,0,0,13,4,100,distant,0.00000
regular,0,0,13,4,300,distant,0.00000
regular,0,0,13,4,1000,distant,-11.00000
regular,0,0,14,0,100,orig,6.00000
regular,0,0,14,0,300,orig,3.00000
regular,0,0,14,0,1000,orig,-8.00000
regular,0,0,14,0,100,distant,6.00000
regular,0,0,14,0,300,distant,3.00000
regular,0,0,14,0,1000,distant,-8.00000
regular,0,0,14,1,100,orig,-8.00000
regular,0,0,14,1,300,orig,-8.00000
regular,0,0,14,1,1000,orig,-6.00000
regular,0,0,14,1,100,distant,-9.00000
regular,0,0,14,1,300,distant,-9.00000
regular,0,0,14,1,1000,distant,-6.00000
regular,0,0,14,2,100,orig,6.00000
regular,0,0,14,2,300,orig,-4.00000
regular,0,0,14,2,1000,orig,-8.00000
regular,0,0,14,2,100,distant,0.00000
regular,0,0,14,2,300,distant,-4.00000
regular,0,0,14,2,1000,distant,-8.00000
regular,0,0,14,3,100,orig,-2.00000
regular,0,0,14,3,300,orig,-1.00000
regular,0,0,14,3,1000,orig,-8.00000
regular,0,0,14,3,100,distant,0.00000
regular,0,0,14,3,300,distant,6.00000
regular,0,0,14,3,1000,distant,-8.00000
regular,0,0,14,4,100,orig,3.00000
regular,0,0,14,4,300,orig,5.00000
regular,0,0,14,4,1000,orig,5.00000
regular,0,0,14,4,100,distant,0.00000
regular,0,0,14,4,300,distant,-2.00000
regular,0,0,14,4,1000,distant,-1.00000
regular,0,0,15,0,100,orig,-5.00000
regular,0,0,15,0,300,orig,-5.00000
regular,0,0,15,0,1000,orig,17.00000
regular,0,0,15,0,100,distant,0.00000
regular,0,0,15,0,300,distant,18.00000
regular,0,0,15,0,1000,distant,19.00000
regular,0,0,15,1,100,orig,19.00000
regular,0,0,15,1,300,orig,20.00000
regular,0,0,15,1,1000,orig,21.00000
regular,0,0,15,1,100,distant,0.00000
regular,0,0,15,1,300,distant,11.00000
regular,0,0,15,1,1000,distant,17.00000
regular,0,0,15,2,100,orig,1.00000
regular,0,0,15,2,300,orig,1.00000
regular,0,0,15,2,1000,orig,21.00000
regular,0,0,15,2,100,distant,0.00000
regular,0,0,15,2,300,distant,1.00000
regular,0,0,15,2,1000,distant,21.00000
regular,0,0,15,3,100,orig,9.00000
regular,0,0,15,3,300,orig,12.00000
regular,0,0,15,3,1000,orig,19.00000
regular,0,0,15,3,100,distant,0.00000
regular,0,0,15,3,300,distant,0.00000
regular,0,0,15,3,1000,distant,19.00000
regular,0,0,15,4,100,orig,1.00000
regular,0,0,15,4,300,orig,14.00000
regular,0,0,15,4,1000,orig,13.00000
regular,0,0,15,4,100,distant,0.00000
regular,0,0,15,4,300,distant,0.00000
regular,0,0,15,4,1000,distant,-3.00000
regular,0,0,16,0,100,orig,0.00000
regular,0,0,16,0,300,orig,0.00000
regular,0,0,16,0,1000,orig,0.00000
regular,0,0,16,0,100,distant,0.00000
regular,0,0,16,0,300,distant,0.00000
regular,0,0,16,0,1000,distant,0.00000
regular,0,0,16,1,100,orig,0.00000
regular,0,0,16,1,300,orig,0.00000
regular,0,0,16,1,1000,orig,0.00000
regular,0,0,16,1,100,distant,0.00000
regular,0,0,16,1,300,distant,0.00000
regular,0,0,16,1,1000,distant,0.00000
regular,0,0,16,2,100,orig,0.00000
regular,0,0,16,2,300,orig,0.00000
regular,0,0,16,2,1000,orig,0.00000
regular,0,0,16,2,100,distant,0.00000
regular,0,0,16,2,300,distant,0.00000
regular,0,0,16,2,1000,distant,0.00000
regular,0,0,16,3,100,orig,0.00000
regular,0,0,16,3,300,orig,0.00000
regular,0,0,16,3,1000,orig,0.00000
regular,0,0,16,3,100,distant,0.00000
regular,0,0,16,3,300,distant,0.00000
regular,0,0,16,3,1000,distant,0.00000
regular,0,0,16,4,100,orig,0.00000
regular,0,0,16,4,300,orig,0.00000
regular,0,0,16,4,1000,orig,0.00000
regular,0,0,16,4,100,distant,0.00000
regular,0,0,16,4,300,distant,0.00000
regular,0,0,16,4,1000,distant,0.00000
regular,0,0,17,0,100,orig,-14.00000
regular,0,0,17,0,300,orig,-14.00000
regular,0,0,17,0,1000,orig,-14.00000
regular,0,0,17,0,100,distant,-1.00000
regular,0,0,17,0,300,distant,-14.00000
regular,0,0,17,0,1000,distant,-14.00000
regular,0,0,17,1,100,orig,0.00000
regular,0,0,17,1,300,orig,0.00000
regular,0,0,17,1,1000,orig,-14.00000
regular,0,0,17,1,100,distant,-7.00000
regular,0,0,17,1,300,distant,-13.00000
regular,0,0,17,1,1000,distant,-14.00000
regular,0,0,17,2,100,orig,-4.00000
regular,0,0,17,2,300,orig,-14.00000
regular,0,0,17,2,1000,orig,-14.00000
regular,0,0,17,2,100,distant,-4.00000
regular,0,0,17,2,300,distant,-14.00000
regular,0,0,17,2,1000,distant,-14.00000
regular,0,0,17,3,100,orig,-1.00000
regular,0,0,17,3,300,orig,-14.00000
regular,0,0,17,3,1000,orig,-14.00000
regular,0,0,17,3,100,distant,-1.00000
regular,0,0,17,3,300,distant,-14.00000
regular,0,0,17,3,1000,distant,-14.00000
regular,0,0,17,4,100,orig,-8.00000
regular,0,0,17,4,300,orig,-14.00000
regular,0,0,17,4,1000,orig,-14.00000
regular,0,0,17,4,100,distant,-8.00000
regular,0,0,17,4,300,distant,-14.00000
regular,0,0,17,4,1000,distant,-14.00000
regular,0,0,18,0,100,orig,1.00000
regular,0,0,18,0,300,orig,1.00000
regular,0,0,18,0,1000,orig,17.00000
regular,0,0,18,0,100,distant,0.00000
regular,0,0,18,0,300,distant,0.00000
regular,0,0,18,0,1000,distant,17.00000
regular,0,0,18,1,100,orig,2.00000
regular,0,0,18,1,300,orig,1.00000
regular,0,0,18,1,1000,orig,13.00000
regular,0,0,18,1,100,distant,12.00000
regular,0,0,18,1,300,distant,11.00000
regular,0,0,18,1,1000,distant,15.00000
regular,0,0,18,2,100,orig,9.00000
regular,0,0,18,2,300,orig,13.00000
regular,0,0,18,2,1000,orig,14.00000
regular,0,0,18,2,100,distant,13.00000
regular,0,0,18,2,300,distant,16.00000
regular,0,0,18,2,1000,distant,16.00000
regular,0,0,18,3,100,orig,17.00000
regular,0,0,18,3,300,orig,18.00000
regular,0,0,18,3,1000,orig,17.00000
regular,0,0,18,3,100,distant,17.00000
regular,0,0,18,3,300,distant,18.00000
regular,0,0,18,3,1000,distant,17.00000
regular,0,0,18,4,100,orig,15.00000
regular,0,0,18,4,300,orig,18.00000
regular,0,0,18,4,1000,orig,17.00000
regular,0,0,18,4,100,distant,0.00000
regular,0,0,18,4,300,distant,-1.00000
regular,0,0,18,4,1000,distant,17.00000
regular,0,0,19,0,100,orig,1.00000
regular,0,0,19,0,300,orig,-3.00000
regular,0,0,19,0,1000,orig,-1.00000
regular,0,0,19,0,100,distant,0.00000
regular,0,0,19,0,300,distant,0.00000
regular,0,0,19,0,1000,distant,0.00000
regular,0,0,19,1,100,orig,-6.00000
regular,0,0,19,1,300,orig,-11.00000
regular,0,0,19,1,1000,orig,-1.00000
regular,0,0,19,1,100,distant,-6.00000
regular,0,0,19,1,300,distant,-11.00000
regular,0,0,19,1,1000,distant,-1.00000
regular,0,0,19,2,100,orig,-9.00000
regular,0,0,19,2,300,orig,-9.00000
regular,0,0,19,2,1000,orig,-5.00000
regular,0,0,19,2,100,distant,1.00000
regular,0,0,19,2,300,distant,-6.00000
regular,0,0,19,2,1000,distant,-5.00000
regular,0,0,19,3,100,orig,-7.00000
regular,0,0,19,3,300,orig,-7.00000
regular,0,0,19,3,1000,orig,-3.00000
regular,0,0,19,3,100,distant,0.00000
regular,0,0,19,3,300,distant,0.00000
regular,0,0,19,3,1000,distant,-3.00000
regular,0,0,19,4,100,orig,-4.00000
regular,0,0,19,4,300,orig,-4.00000
regular,0,0,19,4,1000,orig,3.00000
regular,0,0,19,4,100,distant,0.00000
regular,0,0,19,4,300,distant,0.00000
regular,0,0,19,4,1000,distant,3.00000
regular,0,0,20,0,100,orig,0.00000
regular,0,0,20,0,300,orig,-15.00000
regular,0,0,20,0,1000,orig,-28.00000
regular,0,0,20,0,100,distant,0.00000
regular,0,0,20,0,300,distant,-15.00000
regular,0,0,20,0,1000,distant,-28.00000
regular,0,0,20,1,100,orig,0.00000
regular,0,0,20,1,300,orig,-22.00000
regular,0,0,20,1,1000,orig,-28.00000
regular,0,0,20,1,100,distant,0.00000
regular,0,0,20,1,300,distant,-22.00000
regular,0,0,20,1,1000,distant,-28.00000
regular,0,0,20,2,100,orig,-14.00000
regular,0,0,20,2,300,orig,-28.00000
regular,0,0,20,2,1000,orig,-28.00000
regular,0,0,20,2,100,distant,-5.00000
regular,0,0,20,2,300,distant,-26.00000
regular,0,0,20,2,1000,distant,-28.00000
regular,0,0,20,3,100,orig,-9.00000
regular,0,0,20,3,300,orig,-27.00000
regular,0,0,20,3,1000,orig,-27.00000
regular,0,0,20,3,100,distant,0.00000
regular,0,0,20,3,300,distant,-20.00000
regular,0,0,20,3,1000,distant,-26.00000
regular,0,0,20,4,100,orig,-15.00000
regular,0,0,20,4,300,orig,-26.00000
regular,0,0,20,4,1000,orig,-28.00000
regular,0,0,20,4,100,distant,0.00000
regular,0,0,20,4,300,distant,0.00000
regular,0,0,20,4,1000,distant,-26.00000
regular,0,0,21,0,100,orig,0.00000
regular,0,0,21,0,300,orig,13.00000
regular,0,0,21,0,1000,orig,19.00000
regular,0,0,21,0,100,distant,0.00000
regular,0,0,21,0,300,distant,9.00000
regular,0,0,21,0,1000,distant,19.00000
regular,0,0,21,1,100,orig,10.00000
regular,0,0,21,1,300,orig,13.00000
regular,0,0,21,1,1000,orig,13.00000
