substrate,seed,threshold,walker_id,phys_return_dist,perp_residue,signed_perp_x,signed_perp_y,loop_area,start_depth,min_depth_visited,mean_depth_visited,visited_shallow,start_texture
AB_N30,0,2.0,10809,1.8477590650401496,0.76536686473746,0.29289321879999997,-0.7071067812000001,146.892658631966,0.7435055459693833,0.017447678381048548,0.4845577943368107,True,-0.6601627276640926
AB_N30,0,2.0,10923,2.0,2.0,4.440892098500626e-16,2.0,87.18376618402806,0.3798796559824833,0.02311289290527163,0.466544303187934,True,0.7556016351908214
AB_N30,0,2.0,11011,1.8477590650401456,0.76536686473746,-0.2928932188000001,-0.7071067811999998,36.859650045393096,0.6551790004893806,0.060054175232422624,0.4772914044232118,True,-0.6601627276640926
AB_N30,0,2.0,11022,1.847759065040148,0.76536686473746,-0.7071067812000009,-0.2928932188000004,11.646446609889864,0.5677330548416141,0.03369094285746166,0.4793038603172954,True,-0.678482029219856
AB_N30,0,2.0,11045,1.8477590650401472,0.76536686473746,0.7071067811999998,-0.29289321879999974,9.30330085853194,0.17016610467475224,0.02604649306590201,0.47956584427288074,True,-0.7120184530613121
AB_N30,0,2.0,11251,1.8477590650401536,0.76536686473746,-0.7071067811999995,-0.29289321879999974,88.19417382308143,0.3164234221466963,0.047927741419573455,0.49161045335689874,True,0.940010438245968
AB_N30,0,2.0,11386,1.9999999999673381,1.9999999999673386,1.4142135622999992,1.4142135623999998,213.6015510854164,0.24071736438544644,0.0076016816649838725,0.48579392985088415,True,-0.7120184530613121
AB_N30,0,2.0,11387,0.0,0.0,1.1102230246251565e-16,0.0,1.1213203428397946,0.4954594851791796,0.021022979845770395,0.4843735210260973,True,0.8964860929806059
AB_N30,0,2.0,11524,1.8477590650018794,0.7653668646450721,0.2928932188000013,-0.7071067811,20.8890872980661,0.8030024258214566,0.054767216030733645,0.48921959550779687,True,0.6902666357685222
AB_N30,0,2.0,11708,1.4142135624000005,1.4142135624,4.440892098500626e-16,-1.4142135624,123.13961030623722,0.4359122013954636,0.029124741941843113,0.4819089734657911,True,-0.6601627276640926
AB_N30,0,2.0,11808,1.8477590650401456,0.76536686473746,-0.29289321879999997,0.7071067811999998,144.77133828857677,0.22433036387893723,0.03371206652210568,0.48351122775969363,True,1.2809466227909945
AB_N30,0,2.0,12000,1.4142135624000005,1.4142135624,-1.4142135623999998,5.551115123125783e-16,121.9680374323972,0.34312907908035517,0.00013626652507470194,0.464212365119745,True,1.2809466227909945
AB_N30,0,2.0,12076,1.4142135624,1.4142135624,0.0,1.4142135623999998,147.03910524404847,0.3494144317169823,0.003269900366847822,0.4723868807569859,True,-0.7120184530613121
AB_N30,0,2.0,12172,1.847759064947761,0.7653668647757284,-0.2928932189000002,0.7071067812,57.22361107676812,0.5938584947675815,0.028645693340112688,0.4820597585767299,True,3.0226550874237703
AB_N30,0,2.0,12486,1.4142135623730951,1.4142135623730951,0.9999999999999996,1.0000000000000004,163.28174592984635,0.3437673470200565,0.017447678381048548,0.47888743494639785,True,-0.7120184531486505
AB_N30,0,2.0,12613,1.8477590650401472,0.76536686473746,0.29289321879999997,0.7071067811999996,346.54446225004176,0.7152908801563678,0.02401623862487423,0.4797411069001207,True,-0.678482029219856
AB_N30,0,2.0,12844,1.8477590650401519,0.76536686473746,0.2928932187999995,-0.7071067811999987,57.51650429447818,0.6023949991669086,0.02604649306590201,0.47814967588482143,True,-0.678482029219856
AB_N30,0,2.0,13096,1.8477590649477638,0.7653668647757284,-0.7071067811999989,0.29289321889999953,4.767766953868147,0.1784066945294005,0.02682482733220537,0.4728063797033153,True,1.28094180564957
AB_N30,0,2.0,14109,0.0,0.0,0.0,2.220446049250313e-16,21.02081527915891,0.138814954085135,0.04539739194553016,0.48132002395748696,True,1.28094180564957
AB_N30,0,2.0,14113,1.8477590650401474,0.76536686473746,0.7071067811999998,-0.2928932188000002,222.591143443823,0.3716355084518095,0.0521053061086475,0.4757400089078437,True,0.9400148162837402
AB_N30,0,2.0,14208,1.847759065040149,0.76536686473746,-0.7071067811999983,-0.29289321879999974,176.79215357160723,0.5312847106779852,0.04181039200327363,0.4875834627169607,True,1.2225802814758162
AB_N30,0,2.0,14356,1.8477590650401536,0.76536686473746,-0.7071067812000007,0.2928932188000004,107.33630944818833,0.7150462084778308,0.02311289290527163,0.48197665750864627,True,-0.6601627276640926
AB_N30,0,2.0,14457,1.8477590650401505,0.76536686473746,0.7071067812000014,0.2928932188000001,167.62058069447605,0.23180399545034314,0.03555509481180308,0.4711827293539805,True,0.940010438245968
AB_N30,0,2.0,14729,1.8477590650018827,0.765366864645072,-0.29289321879999974,0.7071067811,11.353553390862743,0.6101497898426796,0.027785519490396426,0.4708291363433103,True,3.217254477571213
AB_N30,0,2.0,14761,0.0,0.0,0.0,6.661338147750939e-16,77.35533905951169,0.19699244611636124,0.042983235987749,0.4798918615865826,True,-0.7120184531486505
AB_N30,0,2.0,14903,1.4142135623730951,1.414213562373095,-1.0000000000000002,0.9999999999999999,12.106601717202267,0.5873923121040496,0.01847019215471324,0.47971614397937307,True,-0.6601600819559802
AB_N30,0,2.0,14992,1.8477590650401456,0.76536686473746,-0.7071067811999999,-0.29289321880000063,23.78858223289012,0.3397230603953648,0.05930542692459917,0.47007435257137886,True,-0.6601627276640926
AB_N30,0,2.0,15087,1.8477590650401536,0.76536686473746,0.7071067811999994,0.2928932188000001,81.00178566936745,0.3683540625757975,0.04754966341448852,0.4736156580406534,True,-0.6601627276640926
AB_N30,0,2.0,15094,1.847759065040147,0.76536686473746,0.7071067811999998,-0.29289321880000063,116.0434162310454,0.4977204637538315,0.04282877336235291,0.48135988672690827,True,-0.6601627276640926
AB_N30,0,2.0,15289,1.4142135624000005,1.4142135624,-1.4142135624000007,-1.1102230246251565e-16,90.46194077553884,0.43457989231796756,0.05485222904311804,0.4915121416602351,True,-0.6601627276640926
AB_N30,0,2.0,15296,1.847759064947764,0.7653668647757284,0.7071067812000007,-0.2928932189,77.83021279339636,0.8088953628017694,0.018037913707911968,0.49460746452490384,True,1.0491002589289549
