substrate,seed,threshold,n_walkers,n_near_loops,mean_perp_residue,median_perp_residue,std_perp_residue,mean_signed_perp_x,mean_signed_perp_y,mean_loop_area,median_loop_area,spearman_area_vs_residue,spearman_area_vs_residue_p,spearman_start_depth_vs_residue,spearman_min_depth_vs_residue,mean_residue_deep_start,mean_residue_shallow_start,mean_residue_visited_shallow,mean_residue_not_visited_shallow,spearman_pathlen_vs_residue,control
Penrose_N24,1,1.0,5000,4,0.42258680269491017,0.0,0.731941812875669,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,1,2.0,5000,23,1.044177828870023,0.9936284448839784,0.6625073722235251,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,1,3.0,5000,34,1.087547644522539,0.9954862006864471,0.5978646698727179,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,2,1.0,5000,5,0.6089040679353777,0.0,0.7560662687618578,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,2,2.0,5000,21,1.009235408360345,0.9566614842966048,0.5922937093799643,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,2,3.0,5000,30,1.0717420549282146,1.1638088884673194,0.5553524175496928,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,3,1.0,5000,9,0.11032114800474041,0.0,0.31203532744974677,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,3,2.0,5000,39,0.8923454466014169,0.913485125821927,0.6218832111069914,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,3,3.0,5000,50,0.914336265230537,0.9203102680015699,0.6118319326470221,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,4,1.0,5000,8,0.5458268580038961,0.0,0.7785617069701121,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,4,2.0,5000,36,1.0291557357673975,0.9593955342107056,0.7365348780772047,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,4,3.0,5000,43,1.054061966254664,1.0802334175294486,0.7363110919976944,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,5,1.0,5000,4,0.2094465518307397,0.0,0.36277206924094946,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,5,2.0,5000,29,1.2529794876855656,1.5044219554489044,0.6586642859997363,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,5,3.0,5000,39,1.232792668302001,1.4320506968288211,0.585958459680146,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,6,1.0,5000,2,0.5073009104323861,0.5073009104323861,0.5073009104323861,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,6,2.0,5000,26,1.062007508259506,1.0784755645409123,0.41290505801891486,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,6,3.0,5000,39,1.139020717707864,1.1444953998411798,0.5342274795005868,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,7,1.0,5000,5,0.9479573940152488,0.8828472495973877,0.8863793781411241,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,7,2.0,5000,33,1.1078284835877072,1.0788751950520596,0.6027413273190707,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,7,3.0,5000,40,1.1513542857601435,1.0955343034146838,0.5937078581183596,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,8,1.0,5000,3,0.7583564877783044,0.0,1.0724780301297043,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,8,2.0,5000,28,1.1483189479400908,1.0284610912218661,0.6018219326670393,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,8,3.0,5000,39,1.1386088350807724,1.0122934341642011,0.5377023439243629,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,9,1.0,5000,5,0.14685590090932574,0.0,0.2937118018186515,,,,,,,,,,,,,,SHUFFLED
