linger_steps,max_consecutive_linger,min_idx,excursion,start_depth,min_depth,final_residue,residue_at_min,substrate,seed,threshold
16,1,901,0.20024838635748599,0.22898684330074226,0.028738456943256274,0.76536686473746,1.0290162792394164,AB_N30,0,2.0
21,3,485,0.21431946820886516,0.2383357068337394,0.02401623862487423,0.765366864645072,1.2891488988175759,AB_N30,0,2.0
49,2,735,0.325676511806569,0.38052640424294004,0.05484989243637106,1.4142135623730951,2.107500598554154,AB_N30,0,2.0
78,5,575,0.6522455146440339,0.6849290336754754,0.03268351903144151,0.7653668647757284,1.7078462692415577,AB_N30,0,2.0
103,4,501,0.7400088463769817,0.7829920823647307,0.042983235987749,0.76536686473746,1.6330816015303509,AB_N30,0,2.0
22,1,1,0.5396629550234661,0.5429328553903139,0.003269900366847822,0.76536686473746,1.0000000000190246,AB_N30,0,2.0
36,3,161,0.35097495123202227,0.369092448659308,0.018117497427285745,0.76536686473746,1.4736257582412833,AB_N30,0,2.0
73,5,144,0.48561594673593056,0.5362242902768701,0.05060834354093957,0.76536686473746,1.595041026897079,AB_N30,0,2.0
96,5,237,0.6769801804151141,0.6998790796160392,0.022898899200925138,0.76536686473746,1.7078462692415577,AB_N30,0,2.0
31,3,50,0.4241364713322121,0.43472983675818433,0.010593365425972223,1.4142135624,1.5632180954004897,AB_N30,0,2.0
14,3,649,0.1916508562862702,0.2325758460145959,0.0409249897283257,0.76536686473746,2.3263966818625734,AB_N30,0,2.0
35,4,351,0.262247373751508,0.2803648711787937,0.018117497427285745,0.7653668646450721,0.6103957749248542,AB_N30,0,2.0
25,3,626,0.3901905376954392,0.40866072985015245,0.01847019215471324,1.4142135623730951,0.7875749634394915,AB_N30,0,2.0
25,1,414,0.2184350812135306,0.2567978541605125,0.03836277294698187,0.76536686473746,1.5363559787162024,AB_N30,0,2.0
34,3,240,0.38225714696286905,0.42508592032522197,0.04282877336235291,1.4142135624,0.9938846467974702,AB_N30,0,2.0
43,5,1016,0.42770680314571163,0.45344523234635525,0.02573842920064362,1.4142135624,1.3256542961836795,AB_N30,0,2.0
21,4,314,0.2954409090776149,0.3214874021435169,0.02604649306590201,1.84775906504015,0.4671767005221574,AB_N30,0,2.0
3,1,511,0.16340940949304894,0.16340940949372462,6.756817327868703e-13,1.4142135624,0.8460075369566956,AB_N30,0,2.0
26,3,711,0.24604030925842812,0.2640782229663401,0.018037913707911968,0.76536686473746,0.41421356239999996,AB_N30,0,2.0
47,3,642,0.425457957349611,0.45590366214893974,0.030445704799328732,1.4142135623730951,1.220791549770313,AB_N30,0,2.0
81,3,784,0.6044875242692009,0.6450918133333423,0.040604289064141375,0.0,1.7691642984456368,AB_N30,0,2.0
131,3,960,0.8589370548266922,0.8820499477319639,0.02311289290527163,0.76536686473746,1.325654296126275,AB_N30,0,2.0
22,3,805,0.1627151395947265,0.22352668830212308,0.06081154870739658,0.76536686473746,2.050868294400797,AB_N30,0,2.0
76,5,767,0.5997697622084428,0.6353248570202459,0.03555509481180308,0.0,1.4653280374775732,AB_N30,0,2.0
29,4,167,0.2765760742077743,0.3014732973037819,0.024897223096007615,0.76536686473746,1.0572364948705697,AB_N30,0,2.0
