model,seed,history,checkpoint,delta,M_measured
Fixed,114,A,0,0.1,0
Fixed,115,A,0,0.1,0
Fixed,116,A,0,0.1,0
Fixed,117,A,0,0.1,0
Fixed,118,A,0,0.1,0
Fixed,119,A,0,0.1,0
Fixed,120,A,0,0.1,0
Fixed,121,A,0,0.1,0
Fixed,122,A,0,0.1,0
Fixed,123,A,0,0.1,0
Fixed,124,A,0,0.1,0
Fixed,125,A,0,0.1,0
Fixed,126,A,0,0.1,0
Fixed,127,A,0,0.1,0
Fixed,128,A,0,0.1,0
Fixed,129,A,0,0.1,0
Fixed,130,A,0,0.1,0
Fixed,131,A,0,0.1,0
Fixed,132,A,0,0.1,0
Fixed,133,A,0,0.1,0
Fixed,134,A,0,0.1,0
Fixed,135,A,0,0.1,0
Fixed,136,A,0,0.1,0
Fixed,137,A,0,0.1,0
Fixed,138,A,0,0.1,0
Fixed,139,A,0,0.1,0
Fixed,140,A,0,0.1,0
Fixed,141,A,0,0.1,0
Fixed,142,A,0,0.1,0
Fixed,143,A,0,0.1,0
Fixed,144,A,0,0.1,0
Fixed,145,A,0,0.1,0
Fixed,146,A,0,0.1,0
Fixed,147,A,0,0.1,0
Fixed,148,A,0,0.1,0
Fixed,149,A,0,0.1,0
Fixed,150,A,0,0.1,0
Fixed,151,A,0,0.1,0
Fixed,152,A,0,0.1,0
Fixed,153,A,0,0.1,0
Fixed,154,A,0,0.1,0
Fixed,155,A,0,0.1,0
Fixed,156,A,0,0.1,0
Fixed,157,A,0,0.1,0
Fixed,158,A,0,0.1,0
Fixed,159,A,0,0.1,0
Fixed,160,A,0,0.1,0
Fixed,161,A,0,0.1,0
Fixed,162,A,0,0.1,0
Fixed,163,A,0,0.1,0
Fixed,164,A,0,0.1,0
Fixed,165,A,0,0.1,0
Fixed,166,A,0,0.1,0
Fixed,167,A,0,0.1,0
Fixed,168,A,0,0.1,0
Fixed,169,A,0,0.1,0
Fixed,170,A,0,0.1,0
Fixed,171,A,0,0.1,0
Fixed,172,A,0,0.1,0
Fixed,173,A,0,0.1,0
Fixed,174,A,0,0.1,0
Fixed,175,A,0,0.1,0
Fixed,176,A,0,0.1,0
Fixed,177,A,0,0.1,0
Fixed,178,A,0,0.1,0
Fixed,179,A,0,0.1,0
Fixed,180,A,0,0.1,0
Fixed,181,A,0,0.1,0
Fixed,182,A,0,0.1,0
Fixed,183,A,0,0.1,0
Fixed,184,A,0,0.1,0
Fixed,185,A,0,0.1,0
Fixed,186,A,0,0.1,0
Fixed,187,A,0,0.1,0
Fixed,188,A,0,0.1,0
Fixed,189,A,0,0.1,0
Fixed,190,A,0,0.1,0
Fixed,191,A,0,0.1,0
Fixed,192,A,0,0.1,0
Fixed,193,A,0,0.1,0
Fixed,194,A,0,0.1,0
Fixed,195,A,0,0.1,0
Fixed,196,A,0,0.1,0
Fixed,197,A,0,0.1,0
Fixed,198,A,0,0.1,0
Fixed,199,A,0,0.1,0
Fixed,0,A,0,0.5,0
Fixed,1,A,0,0.5,0
Fixed,2,A,0,0.5,0
Fixed,3,A,0,0.5,0
Fixed,4,A,0,0.5,0
Fixed,5,A,0,0.5,0
Fixed,6,A,0,0.5,0
Fixed,7,A,0,0.5,0
Fixed,8,A,0,0.5,0
Fixed,9,A,0,0.5,0
Fixed,10,A,0,0.5,0
Fixed,11,A,0,0.5,0
Fixed,12,A,0,0.5,0
Fixed,13,A,0,0.5,0
Fixed,14,A,0,0.5,0
Fixed,15,A,0,0.5,0
