arm,patch,pair,history,seed,checkpoint,S_high,n_high,n_active,frac_active,headroom,total_weight,struct_access,eff_alt,bvisit_frac
regular,0,0,A,8,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,8,100,0.00000,3.00000,56.00000,0.08485,4.79418,905.57031,67.00000,760.00730,0.00000
regular,0,0,A,8,200,0.00000,6.00000,74.00000,0.11212,4.65835,1031.73071,67.00000,758.45994,0.00000
regular,0,0,A,8,400,6.00000,14.00000,116.00000,0.17576,4.42284,1279.07793,79.00000,933.40069,0.00000
regular,0,0,A,8,1000,10.00000,38.00000,202.00000,0.30606,3.95047,1838.42507,82.00000,1032.62383,0.00200
regular,0,0,A,8,2000,13.00000,76.00000,284.00000,0.43030,3.41217,2533.48815,94.00000,1820.20274,0.00700
regular,0,0,A,8,5000,17.00000,193.00000,452.00000,0.68485,2.44162,4081.45966,102.00000,2342.69528,0.05820
regular,0,0,A,8,10000,28.00000,336.00000,578.00000,0.87576,1.52098,5701.79321,107.00000,3270.64572,0.07550
regular,0,0,B,8,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,8,100,-1.00000,2.00000,42.00000,0.06364,4.81516,873.23047,67.00000,880.13560,0.00000
regular,0,0,B,8,200,-2.00000,7.00000,50.00000,0.07576,4.71176,959.73869,67.00000,1216.97791,0.00000
regular,0,0,B,8,400,-5.00000,13.00000,86.00000,0.13030,4.51407,1160.51117,80.00000,1473.79941,0.00000
regular,0,0,B,8,1000,-15.00000,39.00000,148.00000,0.22424,4.03330,1657.92817,83.00000,1510.01535,0.00500
regular,0,0,B,8,2000,-22.00000,75.00000,236.00000,0.35758,3.53338,2296.42202,88.00000,1842.50407,0.01800
regular,0,0,B,8,5000,-54.00000,169.00000,354.00000,0.53636,2.74651,3412.91501,101.00000,2388.31706,0.04580
regular,0,0,B,8,10000,-57.00000,313.00000,574.00000,0.86970,1.77095,5366.66180,106.00000,3019.76063,0.06900
regular,0,0,A,9,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,9,100,-2.00000,4.00000,52.00000,0.07879,4.79016,903.74805,68.00000,726.67348,0.00000
regular,0,0,A,9,200,-2.00000,7.00000,76.00000,0.11515,4.66832,1026.72266,78.00000,991.87484,0.00000
regular,0,0,A,9,400,-5.00000,11.00000,106.00000,0.16061,4.46501,1229.52905,82.00000,1171.03595,0.00000
regular,0,0,A,9,1000,-16.00000,36.00000,190.00000,0.28788,3.97051,1796.10074,92.00000,1289.36387,0.00200
regular,0,0,A,9,2000,-18.00000,83.00000,318.00000,0.48182,3.38611,2647.87471,94.00000,1569.68758,0.03650
regular,0,0,A,9,5000,-2.00000,197.00000,456.00000,0.69091,2.40137,4142.01875,102.00000,2259.07986,0.04860
regular,0,0,A,9,10000,14.00000,346.00000,574.00000,0.86970,1.49915,5711.57787,104.00000,3104.03352,0.07170
regular,0,0,B,9,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,9,100,0.00000,3.00000,48.00000,0.07273,4.82575,872.46655,68.00000,968.12781,0.00000
regular,0,0,B,9,200,0.00000,5.00000,58.00000,0.08788,4.72467,960.32292,75.00000,1416.85427,0.00000
regular,0,0,B,9,400,-3.00000,15.00000,96.00000,0.14545,4.48759,1196.31418,81.00000,1568.64178,0.00000
regular,0,0,B,9,1000,-5.00000,32.00000,174.00000,0.26364,3.99563,1741.79936,82.00000,1569.63401,0.11900
regular,0,0,B,9,2000,-12.00000,82.00000,236.00000,0.35758,3.53897,2291.21758,93.00000,1999.22678,0.11650
regular,0,0,B,9,5000,-37.00000,182.00000,432.00000,0.65455,2.58002,3854.31381,107.00000,2851.92617,0.08680
regular,0,0,B,9,10000,-34.00000,327.00000,602.00000,0.91212,1.64852,5643.86471,108.00000,3305.44259,0.10670
regular,0,0,A,10,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,10,100,0.00000,3.00000,50.00000,0.07576,4.80978,886.71143,69.00000,1019.99879,0.00000
regular,0,0,A,10,200,2.00000,6.00000,60.00000,0.09091,4.70338,978.94470,71.00000,1048.62195,0.00000
regular,0,0,A,10,400,4.00000,18.00000,92.00000,0.13939,4.50252,1178.52008,82.00000,1165.56039,0.00000
regular,0,0,A,10,1000,2.00000,30.00000,212.00000,0.32121,3.97245,1838.98818,95.00000,1809.06178,0.04300
regular,0,0,A,10,2000,-1.00000,77.00000,288.00000,0.43636,3.46661,2490.32401,102.00000,2274.88695,0.04100
regular,0,0,A,10,5000,-13.00000,190.00000,496.00000,0.75152,2.37383,4318.77084,108.00000,2782.88671,0.11460
regular,0,0,A,10,10000,-6.00000,370.00000,630.00000,0.95455,1.37483,6128.35447,108.00000,3043.78951,0.12020
regular,0,0,B,10,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,10,100,-1.00000,2.00000,60.00000,0.09091,4.78653,916.17188,66.00000,854.03241,0.09000
regular,0,0,B,10,200,-3.00000,5.00000,102.00000,0.15455,4.63476,1088.09375,66.00000,854.03241,0.10500
